Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
49,Thaddeus Young,27,BRK,PF,73,73,2407,10.4,20.2,.514,0.1,0.6,.233,10.2,19.5,.523,.518,2.2,3.4,.644,3.7,10.1,13.8,2.8,2.3,0.8,2.8,3.8,23.1,104,107,,youngth01
50,Kyle Korver,34,ATL,SG,80,80,2401,5.5,12.7,.435,3.3,8.2,.398,2.3,4.5,.502,.563,0.9,1.1,.833,0.3,5.1,5.4,3.4,1.2,0.7,2.0,3.3,15.2,104,105,,korveky01
51,Luol Deng,30,MIA,PF,74,73,2394,7.3,16.0,.455,1.9,5.5,.344,5.4,10.5,.513,.514,3.1,4.1,.755,2.3,7.2,9.5,3.0,1.6,0.6,1.7,2.6,19.5,112,105,,denglu01
52,Kawhi Leonard,24,SAS,SF,72,72,2380,11.9,23.4,.506,2.8,6.3,.443,9.1,17.2,.528,.565,6.3,7.2,.874,2.0,8.6,10.6,4.0,2.8,1.5,2.3,2.9,32.8,121,96,MVP-2DPOY-1ASNBA1DEF1,leonaka01
53,Victor Oladipo,23,ORL,SG,72,52,2379,8.9,20.4,.438,2.1,5.9,.348,6.9,14.5,.475,.489,4.3,5.2,.830,1.0,6.2,7.3,5.9,2.4,1.1,3.2,3.7,24.2,105,106,,oladivi01
54,Rudy Gay,29,SAC,SF,70,70,2379,9.4,20.3,.463,1.5,4.3,.344,7.9,16.0,.495,.500,4.0,5.1,.780,2.1,7.1,9.2,2.4,2.0,1.0,2.8,3.7,24.3,104,108,,gayru01
55,Arron Afflalo,30,NYK,SG,71,57,2371,7.7,17.3,.443,2.0,5.2,.382,5.7,12.2,.469,.500,2.4,2.8,.840,0.5,5.3,5.8,3.1,0.5,0.2,1.8,3.1,19.7,105,112,,afflaar01
56,Dirk Nowitzki,37,DAL,PF,75,75,2364,10.7,23.9,.448,2.7,7.4,.368,8.0,16.6,.483,.504,5.4,6.0,.893,1.1,9.4,10.5,2.8,1.1,1.1,1.8,3.5,29.5,110,106,,nowitdi01
57,Goran Dragić,29,MIA,PG,72,72,2363,9.1,19.0,.477,1.4,4.4,.312,7.7,14.5,.527,.513,2.6,3.6,.727,1.2,4.8,6.0,9.1,1.5,0.4,4.0,4.1,22.1,105,107,,dragigo01
58,J.R. Smith,30,CLE,SG,77,77,2362,7.7,18.5,.415,4.4,11.1,.400,3.2,7.4,.438,.535,1.0,1.5,.634,0.9,3.8,4.7,2.8,1.8,0.5,1.3,4.4,20.8,110,106,,smithjr01
59,Will Barton,25,DEN,SG,82,1,2353,9.1,20.9,.432,2.4,6.9,.345,6.7,14.0,.476,.489,4.6,5.7,.806,1.3,8.9,10.1,4.3,1.5,0.8,3.0,3.1,25.1,105,108,6MOY-4,bartowi01
60,Al-Farouq Aminu,25,POR,SF,82,82,2341,6.4,15.4,.416,2.7,7.5,.361,3.7,7.9,.468,.503,2.5,3.3,.737,2.1,8.6,10.7,2.9,1.5,1.1,2.6,3.7,17.9,105,107,,aminual01
61,Marvin Williams,29,CHO,PF,81,81,2338,7.3,16.0,.452,3.3,8.1,.402,4.0,7.9,.504,.554,2.6,3.1,.833,2.7,8.5,11.2,2.4,1.2,1.7,1.3,2.9,20.3,118,104,,willima02
62,Courtney Lee,30,2TM,SG,79,65,2334,6.3,14.0,.454,1.8,4.7,.378,4.5,9.2,.493,.518,2.2,2.6,.839,0.6,3.8,4.5,3.0,1.9,0.6,1.6,2.9,16.6,109,109,,leeco01
62,Courtney Lee,30,MEM,SG,51,37,1489,6.6,14.5,.458,1.8,4.8,.370,4.9,9.7,.502,.519,2.6,3.2,.826,0.7,3.4,4.1,2.6,1.8,0.6,1.7,2.7,17.7,109,111,,leeco01
62,Courtney Lee,30,CHO,SG,28,28,845,5.8,13.1,.445,1.8,4.7,.392,4.0,8.4,.475,.516,1.4,1.5,.885,0.6,4.6,5.2,3.6,2.0,0.7,1.4,3.3,14.8,108,105,,leeco01
63,Ricky Rubio,25,MIN,PG,76,76,2323,4.8,12.7,.374,1.3,4.1,.326,3.4,8.6,.396,.427,5.8,6.8,.847,0.9,6.2,7.1,14.3,3.5,0.2,4.2,4.4,16.6,110,107,,rubiori01
64,Greg Monroe,25,MIL,C,79,67,2314,10.8,20.7,.522,0.0,0.0,.000,10.8,20.7,.522,.522,5.0,6.8,.740,4.8,10.5,15.3,3.9,1.6,1.5,2.8,3.6,26.6,113,106,,monrogr01
65,Jae Crowder,25,BOS,SF,73,73,2308,7.6,17.2,.443,2.6,7.7,.336,5.0,9.5,.529,.518,4.1,5.0,.820,1.5,6.4,7.9,2.9,2.7,0.7,1.8,4.2,21.9,113,102,DPOY-13,crowdja01
66,Zach LaVine,20,MIN,SG,82,33,2294,9.5,21.1,.452,2.7,6.9,.389,6.8,14.1,.482,.516,3.5,4.5,.793,0.6,4.4,5.0,5.5,1.5,0.4,3.4,4.2,25.3,104,112,6MOY-14,lavinza01
67,Pau Gasol,35,CHI,C,72,72,2291,10.2,21.8,.469,0.5,1.5,.348,9.7,20.3,.478,.481,5.0,6.3,.792,3.4,14.0,17.4,6.4,0.9,3.2,3.6,3.2,26.0,107,101,AS,gasolpa01
68,Julius Randle,21,LAL,PF,81,60,2286,7.9,18.3,.429,0.2,0.8,.278,7.6,17.6,.436,.435,4.2,5.9,.715,3.8,14.4,18.2,3.2,1.2,0.6,3.3,5.3,20.2,97,108,,randlju01
69,Dwight Howard,30,HOU,C,71,71,2280,8.0,12.9,.620,0.0,0.1,.000,8.0,12.8,.626,.620,5.0,10.2,.489,5.1,12.9,18.0,2.1,1.5,2.4,3.6,4.7,21.0,111,104,,howardw01
70,Otto Porter Jr.,22,WAS,SF,75,73,2276,7.3,15.4,.473,2.1,5.7,.367,5.2,9.6,.536,.541,2.0,2.7,.754,2.1,6.3,8.4,2.6,2.2,0.7,1.5,3.5,18.7,112,105,,porteot01
71,Evan Turner,27,BOS,SG,81,12,2271,7.4,16.2,.456,0.4,1.8,.241,6.9,14.4,.482,.469,3.2,3.8,.827,1.1,7.4,8.5,7.7,1.7,0.6,3.6,3.0,18.3,102,104,6MOY-5,turneev01
72,Tristan Thompson,24,CLE,PF,82,34,2269,5.6,9.5,.588,0.0,0.0,,5.6,9.5,.588,.588,3.4,5.5,.616,6.1,10.7,16.7,1.4,0.9,1.2,1.4,4.6,14.6,130,104,6MOY-10,thomptr01
73,LaMarcus Aldridge,30,SAS,PF,74,74,2261,12.1,23.7,.513,0.0,0.4,.000,12.1,23.3,.521,.513,5.9,6.8,.858,4.0,10.3,14.3,2.5,0.9,1.8,2.2,3.4,30.1,114,99,ASNBA3,aldrila01
74,D'Angelo Russell,19,LAL,PG,80,48,2259,8.7,21.3,.410,2.9,8.2,.351,5.8,13.0,.447,.478,3.1,4.2,.737,1.0,5.0,6.1,5.9,2.1,0.3,4.4,3.2,23.4,96,112,ROY-9,russeda01
75,Dwyane Wade,34,MIA,SG,74,73,2258,12.3,26.9,.456,0.2,1.0,.159,12.1,25.9,.468,.459,7.3,9.2,.793,1.9,5.0,6.9,7.8,1.8,1.0,4.6,2.6,32.0,103,106,AS,wadedw01
76,Marcin Gortat,31,WAS,C,75,74,2256,9.4,16.5,.567,0.0,0.0,.000,9.4,16.5,.567,.567,3.2,4.5,.705,4.8,11.2,16.0,2.3,1.0,2.1,2.6,4.2,21.9,114,104,,gortama01
77,Jeff Teague,27,ATL,PG,79,78,2255,9.5,21.7,.439,2.4,6.0,.401,7.1,15.6,.454,.495,5.7,6.8,.837,0.7,4.0,4.7,10.3,2.1,0.5,4.8,3.7,27.2,105,104,,teaguje01
78,Jeff Green,29,2TM,SF,80,41,2253,8.0,18.7,.430,1.5,4.8,.315,6.5,13.8,.470,.470,3.7,5.0,.745,1.7,5.8,7.5,3.1,1.3,0.9,2.1,3.7,21.3,103,109,,greenje02
78,Jeff Green,29,MEM,SF,53,31,1544,8.0,18.6,.431,1.4,4.5,.309,6.6,14.0,.470,.469,4.1,5.2,.800,1.8,6.2,8.0,3.3,1.3,0.6,2.3,3.4,21.5,104,110,,greenje02
78,Jeff Green,29,LAC,SF,27,10,709,8.1,18.9,.427,1.8,5.4,.325,6.3,13.4,.468,.474,2.8,4.6,.615,1.3,5.1,6.4,2.8,1.3,1.5,1.7,4.4,20.7,100,106,,greenje02
79,DeMarcus Cousins,25,SAC,C,65,65,2246,12.9,28.5,.451,1.5,4.5,.333,11.4,24.0,.473,.477,10.2,14.2,.718,3.4,12.6,16.0,4.6,2.2,2.0,5.3,5.0,37.4,103,103,ASNBA2,couside01
80,Ish Smith,27,2TM,PG,77,53,2239,8.7,21.2,.411,1.2,3.7,.329,7.5,17.5,.428,.440,2.7,3.9,.693,0.9,5.8,6.7,11.0,1.9,0.5,3.8,2.9,21.3,98,110,,smithis01
80,Ish Smith,27,NOP,PG,27,3,617,7.9,18.3,.430,0.8,2.7,.303,7.1,15.7,.451,.452,2.7,3.5,.767,1.1,6.3,7.4,12.4,1.9,0.5,3.6,3.1,19.2,104,110,,smithis01
80,Ish Smith,27,PHI,PG,50,50,1622,9.0,22.3,.405,1.4,4.1,.336,7.6,18.2,.420,.436,2.7,4.0,.669,0.9,5.6,6.4,10.5,1.9,0.5,3.9,2.9,22.1,96,110,,smithis01
81,Justise Winslow,19,MIA,SF,78,8,2232,4.5,10.6,.422,0.7,2.7,.276,3.7,8.0,.471,.457,1.8,2.7,.684,1.9,7.4,9.3,2.7,1.6,0.6,2.2,4.2,11.5,97,105,ROY-6,winslju01
82,Gorgui Dieng,26,MIN,C,82,39,2220,7.0,13.1,.532,0.1,0.5,.300,6.9,12.7,.540,.537,4.7,5.6,.827,3.6,9.7,13.3,3.2,2.1,2.2,3.2,5.0,18.8,113,106,,dienggo01
83,Robin Lopez,27,NYK,C,82,82,2219,8.3,15.3,.539,0.0,0.0,.000,8.3,15.3,.540,.539,3.0,3.7,.795,6.2,7.7,13.9,2.6,0.4,3.0,3.1,4.2,19.5,113,107,,lopezro01
84,Darren Collison,28,SAC,PG,74,15,2219,8.2,16.8,.486,1.9,4.7,.401,6.3,12.1,.519,.542,4.2,4.9,.858,0.6,3.1,3.7,6.9,1.6,0.1,2.8,3.1,22.4,115,112,6MOY-15,collida01
85,Raymond Felton,31,DAL,PG,80,31,2192,6.4,15.8,.406,1.4,4.9,.282,5.0,10.9,.463,.450,3.5,4.1,.847,0.8,5.2,6.0,6.6,1.6,0.3,2.8,3.3,17.7,102,108,,feltora01
86,Matt Barnes,35,MEM,SF,76,45,2190,6.2,16.3,.381,2.8,8.7,.322,3.4,7.6,.449,.467,2.6,3.2,.804,2.0,7.9,9.9,3.8,1.8,1.3,2.8,5.5,17.8,99,107,,barnema02
87,Anthony Davis,22,NOP,C,61,61,2164,12.8,26.0,.493,0.8,2.5,.324,12.0,23.6,.511,.508,7.5,9.9,.758,3.0,11.4,14.4,2.7,1.8,2.9,2.8,3.4,33.9,110,104,DPOY-9AS,davisan02
88,Hollis Thompson,24,PHI,SG,77,17,2154,6.1,15.5,.397,3.4,8.9,.380,2.8,6.6,.420,.507,1.6,2.2,.719,1.2,5.0,6.2,2.3,0.8,0.5,1.7,4.3,17.2,101,113,,thompho01
89,Dion Waiters,24,OKC,SG,78,15,2152,6.5,16.3,.399,2.0,5.5,.358,4.5,10.7,.421,.460,2.6,3.6,.713,0.8,3.8,4.7,3.6,1.9,0.3,2.8,3.3,17.6,99,108,,waitedi01
90,Elfrid Payton,21,ORL,PG,73,69,2145,7.4,17.0,.436,0.7,2.1,.326,6.7,14.9,.451,.456,2.6,4.4,.589,1.8,4.3,6.1,10.9,2.1,0.5,4.1,3.7,18.1,100,108,,paytoel01
91,Jamal Crawford,35,LAC,SG,79,5,2126,8.9,22.1,.404,2.8,8.1,.340,6.2,14.0,.440,.466,5.8,6.4,.904,0.5,2.9,3.4,4.3,1.2,0.3,2.7,2.9,26.4,104,109,6MOY-1,crawfja01
92,Hassan Whiteside,26,MIA,C,73,43,2125,10.0,16.5,.606,0.0,0.0,,10.0,16.5,.606,.606,5.2,7.9,.650,5.7,15.1,20.9,0.7,1.1,6.5,3.3,4.9,25.1,117,95,DPOY-3DEF2,whiteha01
93,Bojan Bogdanović,26,BRK,SF,79,39,2115,7.7,17.8,.433,3.1,8.1,.382,4.6,9.8,.474,.519,2.6,3.1,.833,0.9,5.2,6.1,2.4,0.7,0.1,2.7,2.8,21.1,102,115,,bogdabo02
94,Devin Booker,19,PHO,SG,76,51,2108,8.5,20.0,.423,2.3,6.7,.343,6.2,13.4,.464,.480,5.0,5.9,.840,0.6,3.7,4.3,4.6,1.0,0.5,3.7,5.2,24.2,102,112,ROY-4,bookede01
95,Deron Williams,31,DAL,PG,65,63,2106,7.8,18.7,.414,2.3,6.8,.344,5.4,11.9,.454,.477,4.3,5.0,.869,0.5,4.1,4.6,9.1,1.5,0.3,3.6,3.7,22.2,105,109,,willide01
96,Allen Crabbe,23,POR,SG,81,8,2105,7.4,16.1,.459,2.7,6.8,.393,4.7,9.3,.506,.541,2.3,2.7,.867,0.6,4.5,5.1,2.4,1.5,0.4,1.5,4.6,19.8,114,110,6MOY-16,crabbal01
97,Jared Dudley,30,WAS,PF,81,41,2098,5.4,11.3,.478,2.3,5.5,.420,3.1,5.8,.534,.581,1.7,2.3,.735,1.3,5.4,6.6,4.0,1.7,0.4,1.9,4.4,14.8,114,107,,dudleja01
98,JJ Redick,31,LAC,SG,75,75,2097,10.1,21.0,.480,4.8,10.1,.475,5.3,11.0,.484,.593,4.3,4.9,.888,0.2,3.1,3.3,2.5,1.0,0.1,1.9,3.2,29.3,118,109,,redicjj01
99,Derrick Rose,27,CHI,PG,66,66,2097,10.7,25.1,.427,1.1,3.6,.293,9.6,21.5,.449,.448,3.4,4.3,.793,1.1,4.3,5.4,7.4,1.1,0.3,4.2,2.0,25.8,96,110,,rosede01
100,Mason Plumlee,25,POR,C,82,82,2084,6.4,12.4,.516,0.0,0.1,.000,6.4,12.3,.520,.516,5.2,8.0,.642,4.8,10.2,15.1,5.4,1.6,2.0,3.7,6.1,18.0,112,104,,plumlma01
101,Kent Bazemore,26,ATL,SF,75,68,2083,7.6,17.2,.441,2.6,7.2,.357,5.0,10.0,.502,.517,2.9,3.6,.815,0.7,8.3,9.0,4.1,2.3,0.9,3.3,4.2,20.7,99,100,,bazemke01
102,Emmanuel Mudiay,19,DEN,PG,68,66,2068,8.0,21.9,.364,1.8,5.6,.319,6.2,16.3,.379,.404,3.4,5.1,.670,0.8,4.8,5.6,9.0,1.6,0.8,5.3,3.4,21.1,88,110,ROY-7,mudiaem01
103,Jerami Grant,21,PHI,PF,77,52,2066,6.0,14.2,.419,0.8,3.5,.240,5.1,10.7,.477,.448,5.0,7.6,.658,2.3,6.2,8.6,3.2,1.3,3.0,2.6,5.1,17.8,100,108,,grantje01
104,Danny Green,28,SAS,SG,79,79,2062,5.2,13.9,.376,2.9,8.7,.332,2.4,5.3,.448,.480,0.8,1.1,.739,1.2,6.3,7.5,3.5,2.0,1.6,1.9,3.5,14.2,99,99,,greenda02
105,Jeremy Lin,27,CHO,SG,78,13,2048,7.4,17.8,.412,1.9,5.5,.336,5.5,12.3,.446,.464,5.8,7.2,.815,1.0,5.2,6.2,5.8,1.4,1.0,3.7,4.0,22.4,102,106,6MOY-7,linje01
106,Kristaps Porziņģis,20,NYK,PF,72,72,2047,9.4,22.2,.421,2.0,6.1,.333,7.3,16.1,.454,.467,5.0,6.0,.838,3.3,9.9,13.2,2.4,1.3,3.4,3.0,5.1,25.8,103,103,ROY-2,porzikr01
107,Cory Joseph,24,TOR,SG,80,4,2046,6.5,14.8,.439,0.8,2.8,.273,5.7,12.0,.478,.465,3.4,4.4,.764,1.0,4.3,5.3,6.3,1.6,0.5,2.6,3.3,17.1,106,108,,josepco01
108,Harrison Barnes,23,GSW,SF,66,59,2042,7.0,15.0,.466,1.9,5.1,.383,5.0,9.9,.508,.531,2.4,3.2,.761,1.8,5.9,7.7,2.8,1.0,0.2,1.3,3.2,18.3,114,107,,barneha02
109,Patrick Beverley,27,HOU,PG,71,63,2041,6.2,14.3,.434,3.0,7.5,.400,3.2,6.8,.472,.539,1.4,2.1,.682,1.8,4.3,6.0,5.8,2.3,0.6,2.2,5.6,16.9,114,110,,beverpa01
110,Nikola Vučević,25,ORL,C,65,60,2037,13.1,25.7,.510,0.0,0.2,.222,13.0,25.5,.512,.511,2.8,3.7,.753,4.3,9.9,14.1,4.4,1.3,1.7,3.0,4.2,29.0,106,105,,vucevni01
111,Langston Galloway,24,NYK,PG,82,7,2033,5.8,14.9,.393,1.9,5.7,.344,3.9,9.2,.423,.458,2.2,2.9,.754,1.1,6.2,7.3,5.2,1.9,0.6,1.5,4.5,15.8,105,108,,gallola01
112,José Calderón,34,NYK,PG,72,72,2024,5.3,11.6,.459,2.1,5.2,.414,3.2,6.4,.496,.552,1.1,1.2,.875,0.6,5.3,5.8,7.6,1.6,0.2,2.2,3.4,13.8,114,109,,caldejo01
113,Patrick Patterson,26,TOR,PF,79,0,2020,5.2,12.6,.414,2.7,7.5,.362,2.5,5.1,.490,.521,0.7,0.9,.853,2.0,6.8,8.7,2.4,1.4,0.8,1.7,3.3,13.9,108,107,6MOY-16,pattepa01
114,Zach Randolph,34,MEM,PF,68,53,2016,11.0,23.2,.475,0.2,0.7,.231,10.8,22.5,.482,.479,4.4,5.5,.796,4.6,8.9,13.5,3.6,1.1,0.3,2.7,3.7,26.5,107,109,,randoza01
115,Steven Adams,22,OKC,C,80,80,2014,6.4,10.5,.613,0.0,0.0,,6.4,10.5,.613,.613,2.8,4.8,.582,5.4,7.7,13.1,1.5,1.0,2.2,2.1,5.5,15.7,123,105,,adamsst01
116,Ryan Anderson,27,NOP,PF,66,7,2008,9.8,22.9,.427,3.2,8.8,.366,6.6,14.1,.466,.498,4.9,5.6,.873,3.2,6.5,9.8,1.8,0.9,0.6,2.2,2.7,27.8,108,112,6MOY-6,anderry01
117,Zaza Pachulia,31,DAL,C,76,69,2004,5.6,11.9,.466,0.0,0.1,.000,5.6,11.9,.469,.466,5.4,7.0,.768,6.3,11.9,18.2,3.3,1.6,0.6,3.0,4.6,16.5,113,104,,pachuza01
118,Derrick Favors,24,UTA,PF,62,59,1983,11.1,21.6,.515,0.0,0.1,.000,11.1,21.5,.518,.515,4.8,6.8,.709,4.5,8.9,13.4,2.5,2.0,2.4,2.8,4.0,27.0,111,101,,favorde01
119,Tony Parker,33,SAS,PG,72,72,1980,9.0,18.4,.493,0.7,1.7,.415,8.4,16.7,.501,.512,3.4,4.4,.760,0.4,4.1,4.6,9.8,1.4,0.3,3.4,2.9,22.2,109,103,,parketo01
120,Dante Cunningham,28,NOP,SF,80,46,1971,4.7,10.4,.451,1.4,4.4,.316,3.3,6.0,.550,.518,1.4,2.1,.695,1.4,4.5,5.9,1.9,1.1,0.8,1.0,4.4,12.2,109,112,,cunnida01
121,Isaiah Canaan,24,PHI,SG,77,39,1966,6.5,18.0,.360,4.4,12.1,.363,2.1,5.9,.354,.482,3.7,4.5,.833,0.5,3.8,4.3,3.4,1.4,0.3,2.3,3.3,21.1,102,113,,canaais01
122,Nerlens Noel,21,PHI,C,67,62,1965,7.6,14.6,.521,0.0,0.0,.500,7.6,14.6,.521,.522,3.3,5.7,.590,3.8,9.7,13.5,3.0,2.9,2.5,3.9,4.8,18.6,99,103,,noelne01
123,Garrett Temple,29,WAS,SF,80,43,1951,5.0,12.6,.398,2.2,6.4,.345,2.8,6.2,.453,.486,2.3,3.1,.728,0.9,4.4,5.3,3.5,1.7,0.4,1.6,4.9,14.5,104,108,,templga01
124,Taj Gibson,30,CHI,PF,73,55,1936,6.8,12.9,.526,0.0,0.1,.000,6.8,12.9,.529,.526,2.6,3.8,.692,5.3,7.7,13.1,2.7,1.2,2.0,2.0,4.7,16.2,115,106,,gibsota01
125,Rudy Gobert,23,UTA,C,61,60,1932,5.4,9.7,.559,0.0,0.0,,5.4,9.7,.559,.559,4.4,7.7,.569,5.7,12.6,18.2,2.5,1.2,3.7,3.1,4.5,15.2,112,99,DPOY-7,goberru01
126,Jared Sullinger,23,BOS,PF,81,73,1915,8.9,20.5,.435,0.7,2.6,.282,8.2,17.9,.458,.453,2.6,4.1,.640,4.9,12.2,17.1,4.8,1.9,1.2,2.6,5.3,21.2,103,100,,sullija01
127,Lou Williams,29,LAL,SG,67,35,1907,7.5,18.2,.408,2.9,8.4,.344,4.6,9.8,.464,.488,9.3,11.2,.830,0.8,3.6,4.5,4.4,1.6,0.5,2.8,2.8,27.1,115,114,,willilo02
128,Robert Covington,25,PHI,SF,67,49,1903,7.1,18.3,.385,4.4,12.4,.353,2.7,5.9,.452,.504,3.6,4.6,.791,1.7,9.1,10.8,2.5,2.7,1.0,3.7,6.0,22.1,97,106,,covinro01
129,Ersan İlyasova,28,2TM,PF,74,56,1881,7.5,17.7,.424,2.6,6.9,.371,4.9,10.8,.458,.496,3.0,4.1,.721,3.9,6.9,10.8,1.8,1.4,0.9,1.9,4.6,20.5,109,106,,ilyaser01
129,Ersan İlyasova,28,DET,PF,52,52,1434,7.6,17.9,.425,2.7,7.6,.363,4.9,10.3,.471,.502,2.8,3.8,.725,3.5,6.4,9.9,1.9,1.3,1.0,2.1,4.2,20.7,109,106,,ilyaser01
129,Ersan İlyasova,28,ORL,PF,22,4,447,7.2,17.1,.418,2.0,4.9,.409,5.1,12.2,.422,.477,3.6,5.0,.711,5.0,8.5,13.5,1.3,1.6,0.7,1.3,5.7,19.9,111,107,,ilyaser01
130,Omri Casspi,27,SAC,PF,69,21,1880,7.6,15.9,.481,2.9,7.0,.409,4.8,8.9,.537,.571,2.6,4.1,.648,1.5,9.0,10.5,2.4,1.4,0.4,2.4,3.9,20.8,109,108,,casspom01
131,Roy Hibbert,29,LAL,C,81,81,1878,4.9,11.0,.443,0.0,0.1,.000,4.9,10.9,.445,.443,3.1,3.9,.807,3.5,7.1,10.6,2.5,0.9,2.9,2.0,6.7,12.9,105,110,,hibbero01
132,Brandon Knight,24,PHO,SG,52,50,1870,9.7,23.3,.415,3.1,9.1,.342,6.5,14.2,.461,.482,4.1,4.8,.852,0.9,4.3,5.3,6.9,1.6,0.5,4.6,3.2,26.5,100,111,,knighbr03
133,Matthew Dellavedova,25,CLE,PG,76,14,1867,5.7,14.1,.405,2.7,6.6,.410,3.0,7.5,.401,.501,1.6,1.8,.864,0.9,3.6,4.5,9.3,1.2,0.2,3.2,4.9,15.7,109,108,,dellama01
134,Aaron Gordon,20,ORL,PF,78,37,1863,7.4,15.5,.473,1.1,3.8,.296,6.2,11.7,.531,.509,3.5,5.2,.668,4.1,9.5,13.6,3.4,1.6,1.5,1.8,4.1,19.3,114,105,,gordoaa01
135,Kobe Bryant,37,LAL,SF,66,66,1863,10.7,30.0,.358,3.6,12.6,.285,7.1,17.4,.410,.417,6.3,7.6,.826,1.1,5.6,6.7,5.0,1.7,0.4,3.5,3.1,31.3,95,113,AS,bryanko01
136,Doug McDermott,24,CHI,SF,81,4,1861,7.8,17.3,.452,3.0,7.0,.425,4.9,10.4,.470,.537,1.9,2.3,.857,1.0,4.3,5.3,1.6,0.4,0.2,1.4,3.4,20.6,110,112,,mcderdo01
137,Danilo Gallinari,27,DEN,SF,53,53,1839,7.8,19.1,.410,2.4,6.5,.364,5.5,12.6,.434,.472,10.2,11.8,.868,1.4,6.2,7.7,3.7,1.1,0.5,2.1,2.4,28.2,120,111,,gallida01
138,Jrue Holiday,25,NOP,PG,65,23,1831,11.1,25.3,.439,2.4,7.0,.336,8.7,18.3,.478,.485,4.9,5.9,.843,0.7,4.6,5.3,10.6,2.4,0.6,4.5,4.0,29.5,105,109,6MOY-16,holidjr01
139,Alex Len,22,PHO,C,78,46,1821,7.1,16.7,.423,0.0,0.2,.143,7.0,16.5,.426,.424,4.7,6.4,.728,4.8,11.1,15.9,2.6,1.0,1.7,3.9,6.2,18.8,96,107,,lenal01
140,Ian Mahinmi,29,IND,C,71,71,1816,7.2,12.3,.589,0.0,0.0,,7.2,12.3,.589,.589,3.6,6.2,.587,3.8,10.1,13.9,2.8,1.8,2.1,2.7,6.0,18.1,114,100,,mahinia01
141,Nik Stauskas,22,PHI,SG,73,35,1809,5.7,14.8,.385,2.9,8.8,.326,2.8,6.0,.473,.483,2.5,3.2,.771,0.6,4.3,5.0,3.7,1.2,0.5,2.5,3.1,16.7,98,113,,stausni01
142,Bismack Biyombo,23,TOR,C,82,22,1808,4.5,8.2,.542,0.0,0.0,.000,4.5,8.2,.544,.542,4.1,6.5,.628,5.2,13.5,18.7,0.8,0.5,3.8,2.0,6.4,13.0,118,101,,biyombi01
143,Amir Johnson,28,BOS,PF,79,76,1800,6.7,11.5,.585,0.3,1.2,.233,6.5,10.4,.624,.596,1.9,3.3,.570,4.8,8.9,13.7,3.7,1.4,2.2,2.5,5.8,15.6,117,102,,johnsam01
144,Chandler Parsons,27,DAL,SF,61,51,1799,9.1,18.4,.492,2.9,7.1,.414,6.1,11.3,.540,.571,2.6,3.8,.684,0.8,7.2,8.1,4.8,1.3,0.6,2.7,3.2,23.7,110,108,,parsoch01
145,Marc Gasol,31,MEM,C,52,52,1791,9.4,20.3,.464,0.1,0.1,.667,9.4,20.2,.463,.465,5.8,7.0,.829,1.7,8.7,10.4,5.6,1.4,2.0,3.4,4.1,24.7,105,106,,gasolma01
146,Chris Bosh,31,MIA,PF,53,53,1778,10.3,22.1,.467,2.3,6.4,.365,8.0,15.7,.508,.520,6.1,7.7,.795,1.4,9.9,11.3,3.7,1.0,1.0,2.3,2.9,29.1,114,104,AS,boshch01
147,Cody Zeller,23,CHO,C,73,60,1774,6.5,12.4,.529,0.0,0.3,.100,6.5,12.1,.539,.530,5.0,6.6,.754,3.9,9.0,12.9,2.0,1.6,1.8,1.9,5.8,18.0,119,102,,zelleco01
148,Mike Conley,28,MEM,PG,56,56,1761,8.6,20.3,.422,2.3,6.3,.363,6.3,14.1,.449,.478,5.6,6.7,.834,0.8,4.0,4.8,10.0,2.0,0.5,2.5,2.9,25.0,115,110,,conlemi01
149,Thabo Sefolosha,31,ATL,SF,75,11,1758,5.3,10.5,.505,1.2,3.5,.341,4.1,7.0,.586,.562,1.7,2.8,.626,1.5,7.9,9.4,3.0,2.4,1.0,1.9,3.1,13.5,108,100,,sefolth01
150,Shane Larkin,23,BRK,PG,78,17,1751,6.4,14.4,.442,1.1,3.1,.361,5.3,11.3,.464,.481,2.4,3.1,.776,0.8,4.4,5.2,9.8,2.7,0.3,4.2,3.5,16.3,100,110,,larkish01
151,Terrence Ross,24,TOR,SF,73,7,1747,8.0,18.5,.431,3.9,10.0,.386,4.1,8.5,.484,.536,1.4,1.8,.790,0.6,4.9,5.5,1.7,1.6,0.7,1.4,3.5,21.3,110,107,,rosste01
152,Nikola Jokić,20,DEN,C,80,55,1733,8.9,17.4,.512,0.8,2.4,.333,8.1,14.9,.541,.535,4.5,5.5,.811,5.2,11.0,16.2,5.5,2.3,1.4,3.0,6.0,23.0,118,104,ROY-3,jokicni01
153,Andre Iguodala,32,GSW,SF,65,1,1732,4.9,10.3,.478,1.5,4.3,.351,3.4,6.0,.570,.552,1.4,2.3,.614,1.5,5.9,7.3,6.1,2.0,0.5,2.2,2.8,12.7,115,105,6MOY-2,iguodan01
154,Enes Freedom,23,OKC,C,82,1,1721,11.9,20.7,.576,0.3,0.6,.476,11.7,20.1,.579,.583,5.8,7.2,.797,7.2,12.0,19.2,1.0,0.7,1.0,3.3,4.8,29.9,123,105,6MOY-3,kanteen01
