Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
467,Nazr Mohammed,38,OKC,C,5,0,19,7.8,13.1,.600,0.0,0.0,,7.8,13.1,.600,.600,5.2,5.2,1.000,2.6,7.8,10.5,0.0,0.0,0.0,7.8,10.5,20.9,91,110,,mohamna01
468,Jarnell Stokes,22,2TM,C,7,0,18,8.6,14.3,.600,0.0,0.0,,8.6,14.3,.600,.600,2.9,5.7,.500,2.9,8.6,11.4,2.9,2.9,0.0,0.0,2.9,20.0,131,103,,stokeja01
468,Jarnell Stokes,22,MEM,C,2,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,12.9,12.9,25.7,0.0,0.0,0.0,0.0,0.0,0.0,214,109,,stokeja01
468,Jarnell Stokes,22,MIA,C,5,0,14,11.0,18.3,.600,0.0,0.0,,11.0,18.3,.600,.600,3.7,7.3,.500,0.0,7.3,7.3,3.7,3.7,0.0,0.0,3.7,25.6,126,101,,stokeja01
469,Jimmer Fredette,26,2TM,SG,6,0,18,5.6,13.9,.400,2.8,5.6,.500,2.8,8.3,.333,.500,11.1,13.9,.800,0.0,0.0,0.0,2.8,2.8,0.0,5.6,5.6,25.0,94,111,,fredeji01
469,Jimmer Fredette,26,NOP,SG,4,0,13,3.8,15.3,.250,0.0,3.8,.000,3.8,11.4,.333,.250,0.0,0.0,,0.0,0.0,0.0,3.8,3.8,0.0,3.8,3.8,7.6,51,109,,fredeji01
469,Jimmer Fredette,26,NYK,SG,2,0,5,10.3,10.3,1.000,10.3,10.3,1.000,0.0,0.0,,1.500,41.1,51.4,.800,0.0,0.0,0.0,0.0,0.0,0.0,10.3,10.3,72.0,151,116,,fredeji01
470,Joe Harris,24,CLE,SG,5,0,15,3.4,13.7,.250,3.4,13.7,.250,0.0,0.0,,.375,0.0,0.0,,0.0,10.3,10.3,6.9,0.0,0.0,3.4,3.4,10.3,81,107,,harrijo01
471,Jordan Adams,21,MEM,SG,2,0,15,6.9,20.6,.333,0.0,3.4,.000,6.9,17.2,.400,.333,10.3,17.2,.600,0.0,6.9,6.9,10.3,10.3,0.0,6.9,6.9,24.0,84,90,,adamsjo01
472,Coty Clarke,23,BOS,SF,3,0,6,16.2,32.5,.500,16.2,16.2,1.000,0.0,16.2,.000,.750,0.0,0.0,,0.0,8.1,8.1,0.0,0.0,0.0,8.1,0.0,48.7,96,108,,clarkco01
473,Sam Dekker,21,HOU,PF,3,0,6,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,8.2,8.2,0.0,8.2,0.0,0.0,0.0,0.0,,95,,dekkesa01
474,Thanasis Antetokounmpo,23,NYK,SF,2,0,6,25.7,34.3,.750,0.0,8.6,.000,25.7,25.7,1.000,.750,0.0,0.0,,0.0,8.6,8.6,0.0,0.0,0.0,0.0,17.1,51.4,140,110,,antetth01
475,J.J. O'Brien,23,UTA,SF,2,0,6,0.0,8.8,.000,0.0,0.0,,0.0,8.8,.000,.000,0.0,0.0,,0.0,8.8,8.8,0.0,8.8,0.0,0.0,8.8,0.0,0,89,,obriejj01
476,Rakeem Christmas,24,IND,PF,1,0,6,16.6,16.6,1.000,0.0,0.0,,16.6,16.6,1.000,1.000,0.0,0.0,,8.3,0.0,8.3,0.0,0.0,0.0,0.0,8.3,33.1,204,112,,chrisra01
