"Player","Shooter_Cluster"
"Aaron Brooks","2"
"Josh Richardson","1"
"Bobby Portis","3"
"Al Jefferson","3"
"Kevin Martin","3"
"Nenê","4"
"O.J. Mayo","1"
"Leandro Barbosa","1"
"Nemanja Bjelica","1"
"T.J. Warren","3"
"Eric Bledsoe","2"
"Shelvin Mack","2"
"Brandon Rush","1"
"Terrence Jones","5"
"Joffrey Lauvergne","5"
"Jameer Nelson","2"
"Spencer Hawes","1"
"Nick Young","1"
"Jarrett Jack","2"
"Vince Carter","1"
"Rashad Vaughn","1"
"Dwight Powell","5"
"Steve Blake","1"
"Markel Brown","1"
"Kyle Singler","1"
"John Henson","4"
"Chase Budinger","5"
"Anthony Morrow","1"
"James Johnson","5"
"Thomas Robinson","4"
"Sasha Vujačić","1"
"David Lee","4"
"Josh Smith","1"
"Quincy Acy","5"
"Miles Plumlee","4"
"Marcelo Huertas","2"
"Brandon Jennings","2"
"Solomon Hill","1"
"Tim Hardaway Jr.","1"
"Tyler Johnson","1"
"Alexis Ajinça","4"
"Chris Johnson","1"
"Johnny O'Bryant","5"
"Luke Babbitt","1"
"Marreese Speights","3"
"Pablo Prigioni","1"
"Andrew Nicholson","3"
"Jonathon Simmons","5"
"Gary Neal","3"
"Cole Aldrich","4"
"Alec Burks","2"
"DeMarre Carroll","1"
"Justin Holiday","1"
"Festus Ezeli","4"
"Tyreke Evans","2"
"Kyle O'Quinn","3"
"Amar'e Stoudemire","4"
"Mo Williams","2"
"Tim Frazier","2"
"Norman Powell","1"
"James Anderson","1"
"Tyler Zeller","4"
"Beno Udrih","2"
"Dewayne Dedmon","4"
"Mike Dunleavy","1"
"Richaun Holmes","5"
"Nick Collison","4"
"Cameron Payne","2"
"Seth Curry","1"
"Kelly Oubre Jr.","5"
"Charlie Villanueva","3"
"Jeff Withey","4"
"C.J. Watson","1"
"Tyler Ennis","2"
"Justin Anderson","1"
"Joakim Noah","4"
"Andrea Bargnani","3"
"Kirk Hinrich","1"
"Sean Kilpatrick","3"
"Rondae Hollis-Jefferson","5"
"Shabazz Napier","2"
"Anthony Brown","1"
"Josh McRoberts","1"
"Metta World Peace","1"
"Tiago Splitter","4"
"Ian Clark","1"
"Tyus Jones","2"
"Carl Landry","3"
"Mike Muscala","5"
"Kevin Garnett","5"
"Donatas Motiejūnas","3"
"Jusuf Nurkić","4"
"Kendrick Perkins","4"
"Kevin Séraphin","3"
"Boban Marjanović","4"
"Glenn Robinson III","5"
