"PC1","PC2","PC3","PC4","Feature"
-0.12005192759172,0.455347540056705,-0.0901462134256692,0.398898799457751,"USG."
-0.166956206184766,0.420639200434866,-0.0101405748191332,0.425014055514443,"FGA_per100"
-0.17302907898219,0.257432614169837,-0.34357066305371,-0.311509597513944,"AST_per100"
-0.394435849016726,-0.134919372551497,0.0232653232376451,0.0648257960937177,"Dist"
-0.331744486398978,-0.251929979725983,-0.1192686906683,0.123540486232638,"X3PAr"
0.378129631827115,-0.0166660301348045,-0.159060795756781,0.0521455835570643,"pct_FGA_0_3"
0.267826894983978,0.256245976605893,0.0598045809002352,-0.204419064830135,"pct_FGA_3_10"
-0.0813155358104481,0.339397353817415,0.340499531235176,-0.232853490637931,"pct_FGA_10_16"
0.149964545654333,0.0181738642031399,0.32438825292283,0.387530925097886,"fg_pct_0_3"
0.0704547795772211,0.26784216015842,0.352847777996303,-0.178841372363783,"fg_pct_3_10"
-0.111414852420926,0.158576770114234,0.344990587304641,0.00505406580880022,"fg_pct_mid"
-0.213359304014673,0.111802934101432,0.289018973794864,-0.161552462657327,"fg_pct_long_mid"
-0.314784396365475,-0.0989481095510278,0.0372220269651547,0.1287447765524,"fg_pct_3P"
-0.0483438170803288,-0.250733187715341,0.347395560717596,-0.290439537081393,"pct_3PA_Corner"
0.348815910070948,-0.0892440627703495,0.0158407800113752,0.207049036296301,"pct_FGA_Dunks"
0.223163115656079,-0.235149596680677,0.344833940198106,0.273594555075344,"pct_Ast_2P"
-0.28727202256918,-0.202518052990934,0.201585168222254,0.1344248827291,"pct_Ast_3P"
