Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
29,DeAndre Jordan,27,LAC,C,77,77,2598,.703,1.2,.998,.839,.154,.006,.000,.002,.704,.765,.385,.333,,.000,.782,,.488,227,.000,,0,0,DPOY-4NBA1DEF1,jordade01
30,Kevin Durant,27,OKC,SF,72,72,2578,.505,14.6,.652,.212,.098,.182,.161,.348,.569,.737,.437,.542,.455,.387,.518,.640,.081,106,.037,.389,0,0,MVP-5ASNBA2,duranke01
31,Evan Fournier,23,ORL,SF,79,71,2566,.462,14.1,.580,.300,.125,.053,.103,.420,.506,.634,.405,.388,.313,.400,.473,.865,.011,9,.200,.397,4,0,,fournev01
32,Jordan Clarkson,23,LAL,SG,79,79,2552,.433,12.6,.709,.261,.195,.106,.149,.291,.468,.540,.477,.379,.384,.347,.305,.757,.026,23,.191,.295,2,0,,clarkjo01
33,Rodney Hood,23,UTA,SG,79,79,2541,.420,16.0,.538,.111,.200,.130,.098,.462,.472,.611,.448,.421,.432,.359,.206,.752,.012,10,.218,.367,2,0,,hoodro01
34,P.J. Tucker,30,PHO,SF,82,80,2540,.411,11.4,.646,.368,.172,.029,.077,.354,.455,.533,.350,.412,.333,.330,.357,.971,.012,6,.699,.340,1,0,,tuckepj01
35,Rajon Rondo,29,SAC,PG,72,72,2537,.454,10.9,.783,.344,.207,.046,.185,.217,.479,.639,.377,.306,.338,.365,.191,.710,.008,5,.341,.448,2,0,,rondora01
36,Avery Bradley,25,BOS,SG,76,72,2536,.447,16.4,.601,.216,.034,.042,.309,.399,.505,.718,.400,.349,.387,.361,.647,.912,.025,25,.329,.313,0,0,DPOY-6DEF1,bradlav01
37,Carmelo Anthony,31,NYK,SF,72,72,2530,.434,14.0,.763,.213,.087,.208,.255,.237,.463,.540,.404,.423,.453,.339,.273,.743,.018,19,.103,.375,1,0,AS,anthoca01
38,George Hill,29,IND,PG,74,73,2524,.441,15.3,.575,.222,.099,.103,.153,.425,.466,.622,.397,.342,.363,.408,.338,.820,.016,12,.379,.445,0,0,,hillge01
39,Tobias Harris,23,2TM,PF,76,74,2513,.469,10.5,.731,.375,.187,.076,.094,.269,.518,.631,.410,.353,.417,.335,.561,.938,.057,49,.351,.310,0,0,,harrito02
39,Tobias Harris,23,ORL,PF,49,49,1610,.464,10.4,.721,.403,.165,.061,.092,.279,.523,.624,.427,.242,.440,.311,.588,.915,.085,45,.397,.300,0,0,,harrito02
39,Tobias Harris,23,DET,PF,27,25,903,.477,10.7,.747,.330,.221,.101,.098,.253,.512,.643,.390,.457,.382,.375,.519,.970,.014,4,.273,.333,0,0,,harrito02
40,Serge Ibaka,26,OKC,PF,78,78,2500,.479,13.6,.788,.196,.129,.123,.341,.212,.520,.671,.500,.486,.453,.326,.837,.983,.075,61,.527,.351,0,0,,ibakase01
41,Jimmy Butler,26,CHI,SG,67,67,2474,.454,12.0,.802,.313,.120,.131,.236,.198,.489,.673,.363,.360,.385,.312,.441,.719,.071,69,.176,.361,6,1,DPOY-11ASDEF2,butleji01
42,Brook Lopez,27,BRK,C,73,73,2457,.511,7.8,.988,.324,.323,.189,.152,.012,.515,.637,.476,.452,.415,.143,.591,1.000,.050,53,.214,.000,0,0,,lopezbr01
43,Nicolas Batum,27,CHO,SF,70,70,2448,.426,17.2,.543,.151,.055,.120,.215,.457,.492,.697,.396,.438,.404,.348,.429,.784,.025,21,.108,.372,1,0,,batumni01
44,Gary Harris,21,DEN,SG,76,76,2439,.469,13.1,.612,.358,.080,.075,.099,.388,.543,.613,.410,.456,.461,.354,.622,.943,.058,41,.343,.343,1,0,,harriga01
