Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
127,Lou Williams,29,LAL,SG,67,35,1907,.408,16.3,.538,.153,.126,.121,.140,.462,.464,.594,.437,.345,.443,.344,.295,.655,.009,4,.259,.361,1,0,,willilo02
128,Robert Covington,25,PHI,SF,67,49,1903,.385,18.5,.323,.190,.083,.027,.024,.677,.452,.593,.237,.211,.353,.353,.558,.947,.015,9,.137,.333,3,1,,covinro01
129,Ersan İlyasova,28,2TM,PF,74,56,1881,.424,13.2,.608,.292,.124,.050,.144,.392,.458,.570,.317,.394,.368,.371,.641,.927,.003,1,.131,.353,0,0,,ilyaser01
129,Ersan İlyasova,28,DET,PF,52,52,1434,.425,14.6,.577,.266,.126,.049,.136,.423,.471,.593,.297,.440,.406,.363,.638,.936,.002,0,.140,.333,0,0,,ilyaser01
129,Ersan İlyasova,28,ORL,PF,22,4,447,.418,11.8,.712,.379,.118,.052,.170,.288,.422,.517,.389,.250,.269,.409,.652,.889,.007,1,.091,.500,0,0,,ilyaser01
130,Omri Casspi,27,SAC,PF,69,21,1880,.481,13.0,.559,.280,.256,.023,.003,.441,.537,.661,.440,.214,.000,.409,.663,.857,.050,29,.168,.435,1,0,,casspom01
131,Roy Hibbert,29,LAL,C,81,81,1878,.443,8.3,.995,.297,.299,.146,.253,.005,.445,.623,.341,.383,.394,.000,.610,,.085,33,.000,,0,0,,hibbero01
132,Brandon Knight,24,PHO,SG,52,50,1870,.415,15.5,.608,.199,.132,.068,.210,.392,.461,.624,.407,.361,.372,.342,.251,.608,.006,5,.134,.468,1,0,,knighbr03
133,Matthew Dellavedova,25,CLE,PG,76,14,1867,.405,15.9,.532,.092,.241,.135,.065,.468,.401,.489,.398,.304,.485,.410,.321,.806,.000,0,.172,.488,0,0,,dellama01
134,Aaron Gordon,20,ORL,PF,78,37,1863,.473,10.3,.755,.454,.105,.086,.112,.245,.531,.654,.344,.340,.338,.296,.517,.976,.131,72,.380,.315,5,0,,gordoaa01
135,Kobe Bryant,37,LAL,SF,66,66,1863,.358,17.3,.580,.093,.102,.173,.213,.420,.410,.644,.398,.411,.312,.285,.328,.692,.004,5,.126,.322,1,0,AS,bryanko01
136,Doug McDermott,24,CHI,SF,81,4,1861,.452,14.5,.598,.242,.126,.093,.137,.402,.470,.577,.370,.467,.375,.425,.757,.982,.019,12,.282,.411,0,0,,mcderdo01
137,Danilo Gallinari,27,DEN,SF,53,53,1839,.410,14.5,.659,.297,.071,.061,.226,.341,.434,.538,.240,.302,.399,.364,.460,.885,.061,40,.121,.345,3,1,,gallida01
138,Jrue Holiday,25,NOP,PG,65,23,1831,.439,12.3,.723,.290,.164,.149,.121,.277,.478,.576,.418,.446,.363,.336,.207,.517,.011,10,.127,.212,2,1,6MOY-16,holidjr01
139,Alex Len,22,PHO,C,78,46,1821,.423,6.9,.989,.442,.224,.128,.192,.011,.426,.572,.279,.300,.350,.143,.669,1.000,.160,89,.571,.250,0,0,,lenal01
140,Ian Mahinmi,29,IND,C,71,71,1816,.589,3.8,1.000,.627,.248,.040,.085,.000,.589,.690,.486,.222,.316,,.758,,.123,51,,,0,0,,mahinia01
141,Nik Stauskas,22,PHI,SG,73,35,1809,.385,16.8,.404,.251,.057,.026,.070,.596,.473,.547,.290,.357,.395,.326,.558,.915,.039,18,.323,.343,0,0,,stausni01
142,Bismack Biyombo,23,TOR,C,82,22,1808,.542,3.5,.997,.656,.205,.101,.035,.003,.544,.640,.322,.448,.300,.000,.737,,.299,78,.000,,0,0,,biyombi01
143,Amir Johnson,28,BOS,PF,79,76,1800,.585,5.2,.899,.547,.305,.035,.014,.101,.624,.712,.508,.400,.333,.233,.665,1.000,.134,56,.233,.500,1,0,,johnsam01
144,Chandler Parsons,27,DAL,SF,61,51,1799,.492,13.6,.614,.300,.138,.052,.126,.386,.540,.713,.322,.412,.415,.414,.481,.865,.034,22,.175,.500,3,0,,parsoch01
145,Marc Gasol,31,MEM,C,52,52,1791,.464,10.2,.996,.164,.328,.240,.263,.004,.463,.595,.448,.424,.435,.667,.690,1.000,.031,19,.333,.000,0,0,,gasolma01
146,Chris Bosh,31,MIA,PF,53,53,1778,.467,14.5,.711,.206,.086,.149,.270,.289,.508,.715,.364,.456,.425,.365,.606,.975,.034,25,.257,.386,0,0,AS,boshch01
147,Cody Zeller,23,CHO,C,73,60,1774,.529,4.9,.977,.648,.151,.041,.137,.023,.539,.640,.439,.222,.267,.100,.787,1.000,.195,78,.200,.500,0,0,,zelleco01
148,Mike Conley,28,MEM,PG,56,56,1761,.422,13.5,.691,.261,.139,.115,.175,.309,.449,.544,.402,.400,.377,.363,.273,.782,.001,1,.177,.421,2,0,,conlemi01
149,Thabo Sefolosha,31,ATL,SF,75,11,1758,.505,12.1,.669,.417,.067,.048,.137,.331,.586,.665,.440,.444,.471,.341,.705,.952,.043,16,.512,.444,2,1,,sefolth01
150,Shane Larkin,23,BRK,PG,78,17,1751,.442,11.9,.785,.319,.149,.100,.217,.215,.464,.600,.427,.340,.349,.361,.339,.590,.000,0,.194,.286,0,0,,larkish01
151,Terrence Ross,24,TOR,SF,73,7,1747,.431,18.9,.458,.086,.061,.123,.190,.542,.484,.704,.474,.468,.395,.386,.540,.947,.035,22,.295,.380,2,0,,rosste01
152,Nikola Jokić,20,DEN,C,80,55,1733,.512,7.6,.860,.418,.293,.078,.068,.140,.541,.622,.477,.447,.415,.333,.595,.929,.018,11,.143,.333,0,0,ROY-3,jokicni01
153,Andre Iguodala,32,GSW,SF,65,1,1732,.478,14.5,.582,.310,.063,.073,.136,.418,.570,.728,.348,.407,.400,.351,.631,.944,.141,49,.377,.431,3,0,6MOY-2,iguodan01
154,Enes Freedom,23,OKC,C,82,1,1721,.576,4.9,.971,.620,.159,.120,.072,.029,.579,.650,.447,.512,.365,.476,.594,1.000,.065,42,.762,.500,1,0,6MOY-3,kanteen01
155,Frank Kaminsky,22,CHO,C,81,3,1708,.410,12.6,.615,.331,.187,.040,.057,.385,.455,.523,.408,.238,.367,.337,.578,.985,.034,15,.129,.269,1,0,,kaminfr01
156,Bradley Beal,22,WAS,SG,55,35,1708,.449,14.5,.661,.229,.114,.139,.179,.339,.481,.639,.451,.405,.357,.387,.429,.800,.029,21,.155,.429,2,0,,bealbr01
157,Kenneth Faried,26,DEN,PF,67,64,1694,.558,3.5,.997,.645,.251,.045,.056,.003,.558,.634,.452,.321,.343,.500,.684,1.000,.166,96,.500,1.000,1,0,,farieke01
158,Stanley Johnson,19,DET,SF,73,6,1687,.375,13.2,.658,.255,.173,.117,.113,.342,.410,.569,.308,.357,.265,.307,.346,.889,.020,10,.400,.378,3,0,,johnsst04
159,Mirza Teletović,30,PHO,PF,79,1,1686,.427,17.9,.408,.129,.134,.069,.076,.592,.476,.670,.413,.370,.356,.393,.536,.950,.013,10,.096,.364,1,0,6MOY-16,teletmi01
160,Ed Davis,26,POR,PF,81,0,1684,.611,2.0,1.000,.748,.240,.012,.000,.000,.611,.659,.469,.500,,,.583,,.131,40,,,0,0,6MOY-8,davised01
161,Shabazz Muhammad,23,MIN,SF,82,0,1682,.465,9.6,.777,.373,.232,.094,.078,.223,.516,.650,.418,.359,.358,.289,.615,1.000,.093,60,.421,.406,1,0,,muhamsh01
162,Marco Belinelli,29,SAC,SG,68,7,1672,.386,19.7,.532,.068,.052,.066,.346,.468,.456,.767,.303,.405,.427,.306,.805,.912,.008,5,.152,.400,5,0,,belinma01
163,Corey Brewer,29,HOU,SF,82,12,1669,.384,13.1,.594,.330,.149,.051,.065,.406,.460,.593,.268,.393,.278,.272,.682,.951,.029,15,.625,.293,9,0,,breweco01
164,Ramon Sessions,29,WAS,PG,82,5,1667,.473,8.6,.813,.434,.216,.105,.057,.188,.507,.576,.375,.468,.559,.324,.426,.889,.029,15,.243,.407,0,0,,sessira01
165,J.J. Barea,31,DAL,PG,74,16,1667,.446,13.5,.634,.193,.243,.113,.086,.366,.481,.591,.405,.525,.393,.385,.189,.570,.000,0,.146,.342,1,0,6MOY-12,bareajo01
166,Marcus Smart,21,BOS,PG,61,10,1667,.348,14.4,.544,.291,.146,.053,.055,.456,.427,.513,.312,.393,.310,.253,.390,.738,.013,5,.245,.203,4,0,,smartma01
167,Kyrie Irving,23,CLE,PG,53,53,1667,.448,13.2,.702,.243,.164,.131,.166,.298,.502,.584,.403,.504,.473,.321,.206,.595,.001,1,.218,.386,0,0,,irvinky01
168,Wesley Johnson,28,LAC,SF,80,9,1666,.404,18.9,.400,.140,.037,.047,.177,.600,.510,.708,.474,.458,.374,.333,.867,.981,.045,20,.424,.420,0,0,,johnswe01
169,Patty Mills,27,SAS,PG,81,3,1662,.425,18.7,.477,.142,.028,.034,.273,.523,.469,.655,.294,.429,.395,.384,.438,.846,.000,0,.253,.370,2,0,,millspa02
170,Michael Carter-Williams,24,MIL,PG,54,37,1649,.452,8.6,.901,.351,.270,.135,.144,.099,.472,.569,.460,.347,.375,.273,.360,.733,.050,24,.255,.357,1,0,,cartemi01
171,Nikola Mirotić,24,CHI,PF,66,38,1646,.407,17.3,.432,.210,.074,.053,.095,.568,.430,.602,.222,.156,.362,.390,.690,.948,.021,11,.228,.443,2,0,,mirotni01
172,Randy Foye,32,2TM,SG,81,8,1642,.351,17.3,.481,.195,.079,.029,.178,.519,.405,.553,.289,.286,.314,.300,.255,.693,.002,1,.264,.303,2,0,,foyera01
172,Randy Foye,32,DEN,SG,54,7,1070,.351,17.2,.492,.198,.087,.027,.180,.508,.409,.530,.276,.222,.367,.296,.254,.640,.003,1,.213,.333,2,0,,foyera01
172,Randy Foye,32,OKC,SG,27,1,572,.349,17.5,.456,.188,.060,.034,.174,.544,.397,.607,.333,.400,.192,.309,.259,.800,.000,0,.370,.267,0,0,,foyera01
173,Luis Scola,35,TOR,PF,76,76,1636,.450,11.6,.731,.268,.249,.074,.140,.269,.467,.613,.403,.341,.369,.404,.603,.985,.002,1,.497,.475,0,0,,scolalu01
174,Trevor Booker,28,UTA,PF,79,2,1632,.490,5.8,.894,.601,.186,.039,.070,.106,.513,.635,.306,.133,.222,.293,.596,1.000,.168,61,.780,.344,1,0,,booketr01
175,Alonzo Gee,28,NOP,SF,73,38,1632,.518,8.2,.765,.561,.082,.035,.078,.235,.590,.699,.286,.111,.350,.283,.687,1.000,.282,65,.900,.296,0,0,,geeal01
176,Markieff Morris,26,2TM,PF,64,45,1629,.425,12.8,.784,.258,.142,.182,.202,.216,.458,.600,.353,.435,.372,.303,.605,.979,.075,49,.142,.318,2,1,,morrima02
176,Markieff Morris,26,PHO,PF,37,24,917,.397,11.6,.824,.283,.165,.181,.195,.176,.420,.549,.310,.410,.333,.289,.523,1.000,.063,23,.079,.167,1,0,,morrima02
176,Markieff Morris,26,WAS,PF,27,21,712,.467,14.0,.725,.220,.108,.185,.213,.275,.524,.698,.452,.472,.426,.316,.716,.960,.094,26,.203,.375,1,1,,morrima02
177,Dennis Schröder,22,ATL,PG,80,6,1621,.421,12.6,.694,.371,.078,.063,.182,.306,.465,.528,.344,.388,.415,.322,.230,.727,.005,2,.109,.346,4,0,6MOY-9,schrode01
178,Tony Allen,34,MEM,SG,64,57,1620,.458,6.3,.910,.582,.168,.047,.113,.090,.468,.575,.203,.364,.358,.357,.580,.933,.051,23,.714,.367,0,0,DPOY-8DEF2,allento01
179,Tyson Chandler,33,PHO,C,66,60,1618,.583,2.8,.997,.768,.124,.038,.067,.003,.585,.685,.333,.167,.143,.000,.667,,.373,103,.000,,1,0,,chandty01
180,Wayne Ellington,28,BRK,SG,76,41,1615,.389,18.3,.522,.123,.045,.061,.294,.478,.416,.609,.320,.353,.364,.358,.574,.865,.011,6,.332,.393,1,0,,ellinwa01
181,T.J. McConnell,23,PHI,PG,81,17,1606,.470,12.4,.808,.190,.244,.241,.134,.192,.499,.580,.478,.500,.419,.348,.198,.613,.000,0,.180,.438,5,0,,mccontj01
182,Lavoy Allen,26,IND,PF,79,28,1599,.516,7.6,1.000,.381,.273,.103,.243,.000,.516,.709,.446,.289,.389,,.691,,.081,28,,,0,0,,allenla01
183,Jahlil Okafor,20,PHI,C,53,48,1591,.508,6.3,.992,.394,.327,.192,.079,.008,.511,.675,.463,.353,.274,.167,.412,1.000,.058,40,.167,.000,0,0,ROY-5,okafoja01
184,Gerald Green,30,MIA,SG,69,14,1557,.392,16.8,.557,.148,.075,.135,.199,.443,.446,.586,.318,.494,.359,.323,.527,.929,.046,22,.335,.333,1,0,,greenge01
185,Jonas Valančiūnas,23,TOR,C,60,59,1557,.565,4.2,1.000,.543,.312,.084,.062,.000,.565,.646,.473,.489,.424,,.611,,.112,53,,,0,0,,valanjo01
186,Andre Roberson,24,OKC,SG,70,70,1553,.496,9.8,.624,.533,.077,.007,.007,.376,.608,.637,.524,.000,.000,.311,.712,.969,.157,40,.748,.364,1,0,,roberan03
187,Tim Duncan,39,SAS,C,61,60,1536,.488,7.2,.995,.324,.406,.088,.179,.005,.490,.671,.458,.385,.278,.000,.684,,.011,4,.000,,1,0,,duncati01
188,Shaun Livingston,30,GSW,PG,78,3,1520,.536,9.2,.968,.259,.201,.404,.106,.032,.548,.724,.434,.523,.425,.167,.473,1.000,.106,36,.667,.250,1,0,6MOY-11,livinsh01
189,Darrell Arthur,27,DEN,PF,70,16,1516,.452,14.6,.761,.209,.096,.115,.342,.239,.473,.569,.362,.446,.455,.385,.784,1.000,.045,19,.282,.364,2,0,,arthuda01
190,Jordan Hill,28,IND,C,73,11,1513,.506,8.0,.998,.332,.281,.148,.237,.002,.507,.659,.474,.506,.338,.000,.561,,.067,35,1.000,.000,0,0,,hilljo01
191,Jerryd Bayless,27,MIL,SG,52,18,1505,.423,17.5,.471,.149,.101,.069,.156,.529,.408,.492,.295,.400,.397,.437,.393,.901,.011,4,.286,.439,2,0,,bayleje01
192,Raul Neto,23,UTA,PG,81,53,1499,.431,14.1,.612,.237,.153,.115,.108,.388,.453,.586,.328,.354,.444,.395,.233,.797,.002,1,.370,.417,3,0,,netora01
193,Kosta Koufos,26,SAC,C,78,14,1482,.532,4.4,1.000,.376,.541,.077,.005,.000,.532,.695,.450,.324,.000,,.742,,.063,27,,,0,0,,koufoko01
194,Eric Gordon,27,NOP,SG,45,44,1481,.418,16.3,.467,.225,.096,.033,.116,.533,.457,.524,.358,.500,.391,.384,.441,.850,.022,10,.153,.289,0,0,,gordoer01
195,Clint Capela,21,HOU,C,77,35,1471,.582,1.7,.997,.786,.209,.000,.003,.003,.583,.660,.301,,.000,.000,.667,,.277,98,.000,,1,0,,capelca01
196,Austin Rivers,23,LAC,SG,67,7,1464,.438,13.4,.641,.277,.165,.079,.120,.359,.495,.615,.447,.341,.387,.335,.341,.823,.006,2,.216,.400,1,0,,riverau01
197,C.J. Miles,28,IND,SF,64,24,1464,.409,18.5,.390,.158,.071,.055,.104,.610,.474,.560,.378,.486,.409,.367,.487,.915,.027,12,.155,.467,2,0,,milescj01
198,Tayshaun Prince,35,MIN,SF,77,44,1462,.445,14.5,.900,.127,.140,.127,.507,.100,.476,.759,.375,.483,.431,.174,.745,1.000,.022,5,.957,.182,0,0,,princta01
199,Maurice Harkless,22,POR,SF,78,14,1457,.474,9.7,.659,.501,.117,.012,.029,.341,.576,.660,.292,.400,.333,.279,.558,.949,.170,61,.486,.265,1,0,,harklma01
200,Andrew Bogut,31,GSW,C,70,66,1451,.627,2.7,.996,.677,.258,.047,.014,.004,.626,.757,.375,.231,.250,1.000,.764,.000,.297,78,.000,,0,0,,bogutan01
201,JaMychal Green,25,MEM,PF,78,15,1446,.465,8.6,.909,.481,.137,.067,.224,.091,.478,.563,.353,.455,.378,.333,.665,1.000,.133,53,.644,.379,1,0,,greenja01
202,Ben McLemore,22,SAC,SG,68,53,1443,.429,14.2,.593,.262,.138,.053,.141,.407,.474,.689,.238,.500,.297,.362,.680,.925,.053,21,.389,.347,0,0,,mclembe01
203,Derrick Williams,24,NYK,SF,80,9,1435,.450,11.3,.735,.391,.096,.094,.154,.265,.506,.633,.296,.453,.345,.293,.590,.864,.087,47,.353,.415,2,0,,willide02
204,Gerald Henderson,28,POR,SG,72,0,1431,.439,14.9,.743,.157,.096,.183,.304,.257,.468,.747,.314,.412,.410,.353,.500,.958,.043,22,.529,.444,0,0,,hendege02
205,Mario Hezonja,20,ORL,SF,79,9,1413,.433,16.9,.541,.203,.081,.050,.206,.459,.504,.659,.412,.476,.395,.349,.526,.836,.053,19,.182,.429,4,0,,hezonma01
206,Willie Cauley-Stein,22,SAC,C,66,39,1412,.563,3.7,.994,.602,.271,.065,.056,.006,.567,.667,.457,.364,.263,.000,.759,,.286,81,1.000,.000,0,0,,caulewi01
207,Ty Lawson,28,2TM,PG,66,13,1411,.393,13.8,.695,.237,.102,.121,.234,.305,.419,.571,.389,.395,.289,.333,.214,.806,.000,0,.194,.381,3,0,,lawsoty01
207,Ty Lawson,28,HOU,PG,53,12,1176,.387,14.9,.672,.216,.111,.111,.233,.328,.415,.581,.344,.406,.299,.330,.238,.839,.000,0,.191,.389,2,0,,lawsoty01
207,Ty Lawson,28,IND,PG,13,1,235,.418,12.7,.791,.328,.060,.164,.239,.209,.434,.545,.750,.364,.250,.357,.130,.600,.000,0,.214,.333,1,0,,lawsoty01
208,David West,35,SAS,PF,78,19,1404,.545,10.1,.984,.257,.230,.152,.346,.016,.546,.713,.485,.500,.484,.429,.784,1.000,.029,11,.143,.000,0,0,,westda01
209,Kelly Olynyk,24,BOS,C,69,8,1395,.455,12.8,.622,.356,.113,.056,.097,.378,.486,.657,.238,.323,.241,.405,.619,.953,.018,10,.110,.609,0,0,,olynyke01
210,Boris Diaw,33,SAS,PF,76,4,1386,.527,8.7,.820,.394,.277,.073,.076,.180,.564,.662,.547,.250,.414,.362,.480,.960,.000,0,.072,.200,1,0,6MOY-12,diawbo01
211,Trey Lyles,20,UTA,PF,80,33,1382,.438,12.8,.706,.236,.181,.126,.165,.294,.461,.573,.392,.418,.403,.383,.585,.959,.039,15,.547,.443,1,0,,lylestr01
212,Mario Chalmers,29,2TM,PG,61,7,1373,.410,12.8,.664,.320,.203,.056,.086,.336,.461,.528,.411,.360,.395,.309,.213,.739,.002,0,.255,.263,4,0,,chalmma01
212,Mario Chalmers,29,MIA,PG,6,0,120,.313,13.3,.656,.313,.188,.031,.125,.344,.429,.500,.167,1.000,.500,.091,.222,1.000,.000,0,.636,.143,1,0,,chalmma01
212,Mario Chalmers,29,MEM,PG,55,7,1253,.417,12.2,.665,.320,.204,.058,.083,.335,.464,.530,.429,.333,.382,.326,.213,.733,.002,0,.225,.290,3,0,,chalmma01
213,Lance Stephenson,25,2TM,SF,69,13,1372,.481,10.6,.835,.386,.154,.101,.194,.165,.500,.661,.315,.396,.380,.385,.253,.733,.027,11,.321,.280,1,0,,stephla01
213,Lance Stephenson,25,LAC,SF,43,10,680,.494,12.3,.717,.367,.078,.084,.187,.283,.529,.705,.308,.357,.355,.404,.270,.789,.036,5,.447,.333,1,0,,stephla01
213,Lance Stephenson,25,MEM,SF,26,3,692,.474,8.9,.899,.396,.195,.110,.198,.101,.487,.639,.317,.412,.393,.355,.244,.636,.023,6,.129,.000,0,0,,stephla01
214,Myles Turner,19,IND,C,60,30,1367,.498,10.8,.974,.292,.130,.189,.364,.026,.506,.690,.464,.400,.425,.214,.797,1.000,.053,26,.143,.500,0,0,ROY-8,turnemy01
215,Trey Burke,23,UTA,PG,64,0,1366,.413,16.2,.596,.159,.117,.118,.202,.404,.460,.525,.392,.480,.438,.344,.144,.909,.000,0,.215,.345,6,0,,burketr01
216,Brandon Bass,30,LAL,PF,66,0,1342,.549,5.1,.994,.596,.132,.151,.114,.006,.552,.667,.381,.396,.361,.000,.764,,.287,86,.000,,0,0,,bassbr01
217,Anthony Tolliver,30,DET,PF,72,5,1341,.386,21.3,.181,.099,.021,.021,.042,.819,.500,.667,.143,.429,.286,.360,.767,.990,.018,6,.320,.379,0,0,,tollian01
218,Meyers Leonard,23,POR,PF,61,10,1333,.448,18.0,.476,.103,.097,.124,.149,.524,.527,.533,.548,.500,.523,.377,.752,1.000,.025,9,.127,.345,2,0,,leoname01
219,Timofey Mozgov,29,CLE,C,76,48,1326,.565,4.7,.981,.610,.178,.103,.089,.019,.574,.689,.391,.297,.469,.143,.851,1.000,.251,78,.857,.167,0,0,,mozgoti01
220,Richard Jefferson,35,CLE,SF,74,5,1326,.458,16.1,.446,.231,.080,.054,.080,.554,.554,.750,.320,.353,.360,.382,.714,.955,.054,15,.486,.440,0,0,,jefferi01
221,Donald Sloan,28,BRK,PG,61,33,1318,.440,11.8,.717,.391,.103,.057,.166,.283,.462,.562,.333,.250,.379,.384,.310,.868,.003,1,.283,.429,2,0,,sloando01
222,Iman Shumpert,25,CLE,SG,54,5,1316,.374,16.7,.521,.197,.069,.072,.184,.479,.447,.600,.143,.227,.482,.295,.507,.977,.056,12,.404,.288,3,0,,shumpim01
223,Lance Thomas,27,NYK,PF,59,5,1313,.442,13.4,.715,.217,.183,.105,.209,.285,.458,.578,.357,.450,.425,.404,.592,.909,.026,10,.541,.390,1,0,,thomala01
224,P.J. Hairston,23,2TM,SF,66,52,1313,.355,16.9,.409,.218,.069,.042,.081,.591,.449,.596,.286,.235,.303,.290,.613,.971,.020,5,.257,.306,0,0,,hairspj02
224,P.J. Hairston,23,CHO,SF,48,43,938,.359,17.8,.377,.207,.054,.036,.080,.623,.433,.544,.200,.300,.364,.314,.756,.981,.014,2,.273,.340,0,0,,hairspj02
224,P.J. Hairston,23,MEM,SF,18,9,375,.348,16.0,.477,.242,.098,.053,.083,.523,.476,.688,.385,.143,.182,.232,.400,.938,.030,3,.217,.200,0,0,,hairspj02
225,Tony Snell,24,CHI,SF,64,33,1301,.372,15.6,.543,.204,.162,.035,.142,.457,.380,.478,.273,.667,.292,.361,.457,.946,.038,10,.232,.306,1,0,,snellto01
226,Devin Harris,32,DAL,PG,64,0,1280,.447,14.3,.578,.316,.104,.051,.107,.422,.532,.653,.333,.474,.400,.329,.470,.923,.000,0,.392,.419,6,0,,harride01
227,Rodney Stuckey,29,IND,PG,58,1,1275,.413,12.4,.813,.287,.129,.129,.271,.187,.453,.575,.368,.404,.383,.241,.405,.850,.002,0,.410,.206,3,0,,stuckro01
228,Luc Mbah a Moute,29,LAC,PF,75,61,1274,.454,8.2,.807,.536,.116,.029,.126,.193,.485,.541,.458,.000,.385,.325,.901,1.000,.063,10,.900,.333,0,0,,mbahalu01
229,Larry Nance Jr.,23,LAL,PF,63,22,1266,.527,8.1,.967,.463,.150,.097,.257,.033,.541,.683,.467,.345,.403,.100,.739,1.000,.197,53,.500,.200,2,0,,nancela02
230,Jerian Grant,23,NYK,PG,76,6,1265,.394,11.3,.744,.368,.138,.107,.130,.256,.454,.521,.426,.381,.353,.220,.333,.727,.015,6,.110,.455,1,0,,grantje02
231,E'Twaun Moore,26,CHI,SG,59,22,1263,.481,12.9,.733,.177,.260,.131,.165,.267,.491,.652,.485,.412,.391,.452,.436,.915,.015,6,.452,.468,0,0,,mooreet01
232,Toney Douglas,29,NOP,PG,61,18,1262,.411,16.1,.544,.200,.101,.106,.139,.456,.421,.584,.333,.234,.403,.399,.402,.679,.000,0,.187,.526,1,0,,douglto01
233,Jason Terry,38,HOU,SG,72,7,1258,.402,19.6,.306,.072,.093,.072,.069,.694,.504,.704,.514,.407,.385,.356,.397,.903,.000,0,.418,.376,1,0,,terryja01
234,Jon Leuer,26,PHO,PF,67,27,1255,.481,11.3,.764,.305,.180,.137,.142,.236,.511,.725,.345,.422,.348,.382,.604,1.000,.088,38,.145,.188,1,0,,leuerjo01
235,Kyle Anderson,22,SAS,SF,78,11,1245,.468,11.5,.875,.217,.200,.251,.210,.125,.488,.609,.373,.500,.452,.324,.484,1.000,.034,9,.865,.375,0,0,,anderky01
236,Joe Ingles,28,UTA,SF,81,2,1241,.426,20.1,.278,.120,.031,.017,.110,.722,.531,.743,.333,.800,.313,.386,.372,.901,.007,2,.367,.494,1,0,,inglejo01
237,Aron Baynes,29,DET,C,81,1,1233,.505,5.4,.995,.456,.318,.117,.104,.005,.508,.606,.434,.400,.425,.000,.753,,.112,39,.500,.000,0,0,,baynear01
238,Paul Pierce,38,LAC,SF,68,38,1231,.363,19.6,.390,.068,.055,.121,.146,.610,.445,.407,.318,.438,.517,.310,.493,.960,.003,1,.112,.222,0,0,,piercpa01
239,Jeremy Lamb,23,CHO,SG,66,0,1227,.451,13.7,.645,.292,.118,.096,.137,.355,.529,.631,.450,.367,.500,.309,.466,.786,.027,11,.138,.320,1,0,,lambje01
240,Ronnie Price,32,PHO,PG,62,18,1211,.384,19.1,.351,.142,.060,.046,.106,.649,.453,.628,.278,.429,.313,.347,.083,.868,.020,6,.276,.463,1,0,,pricero01
241,Channing Frye,32,2TM,C,70,32,1200,.438,19.4,.323,.112,.069,.037,.098,.677,.545,.641,.500,.462,.500,.387,.738,.989,.035,11,.221,.365,0,0,,fryech01
241,Channing Frye,32,ORL,PF,44,29,754,.435,19.2,.349,.140,.059,.022,.124,.651,.508,.615,.364,.500,.478,.397,.758,.979,.048,8,.215,.346,0,0,,fryech01
241,Channing Frye,32,CLE,C,26,3,446,.441,19.7,.292,.081,.081,.056,.068,.708,.596,.692,.615,.444,.545,.377,.714,1.000,.019,3,.228,.385,0,0,,fryech01
242,Norris Cole,27,NOP,PG,45,23,1198,.405,14.1,.789,.209,.124,.105,.351,.211,.427,.495,.400,.431,.394,.324,.258,.879,.010,5,.186,.474,0,0,,coleno01
243,Jason Smith,29,ORL,C,76,2,1181,.485,15.0,.968,.137,.058,.121,.652,.032,.493,.580,.379,.574,.470,.250,.888,1.000,.008,4,.438,.429,0,0,,smithja02
244,Ömer Aşık,29,NOP,C,68,64,1178,.533,1.5,1.000,.851,.133,.015,.005,.000,.533,.590,.231,.000,.000,,.712,,.231,43,,,0,0,,asikom01
245,D.J. Augustin,28,2TM,PG,62,0,1178,.423,15.5,.520,.260,.106,.071,.080,.480,.440,.516,.270,.480,.393,.405,.175,.632,.000,0,.220,.514,3,1,,augusdj01
245,D.J. Augustin,28,OKC,PG,34,0,519,.380,15.7,.496,.256,.099,.033,.107,.504,.367,.452,.250,.000,.385,.393,.227,.750,.000,0,.246,.400,1,0,,augusdj01
245,D.J. Augustin,28,DEN,PG,28,0,659,.445,15.3,.533,.262,.109,.092,.066,.467,.475,.550,.280,.571,.400,.411,.155,.568,.000,0,.206,.591,2,1,,augusdj01
246,Jonas Jerebko,28,BOS,PF,78,0,1176,.413,13.0,.622,.343,.136,.035,.108,.378,.421,.531,.308,.300,.258,.398,.693,1.000,.035,8,.343,.405,1,0,,jerebjo01
247,Noah Vonleh,20,POR,PF,78,56,1174,.421,9.3,.835,.417,.191,.054,.173,.165,.457,.603,.283,.467,.292,.239,.528,1.000,.129,33,.304,.286,0,0,,vonleno01
248,Blake Griffin,26,LAC,PF,35,35,1170,.499,11.2,.970,.292,.151,.070,.458,.030,.504,.739,.484,.357,.384,.333,.641,.667,.061,36,.167,.000,0,0,,griffbl01
249,JaKarr Sampson,22,2TM,SF,73,40,1160,.442,8.3,.801,.451,.256,.057,.041,.199,.496,.657,.284,.333,.231,.222,.563,.857,.107,26,.444,.214,0,0,,sampsja02
249,JaKarr Sampson,22,PHI,SF,47,18,691,.426,7.4,.832,.441,.302,.054,.035,.168,.476,.697,.246,.182,.143,.176,.525,.667,.079,11,.412,.143,0,0,,sampsja02
249,JaKarr Sampson,22,DEN,SF,26,22,469,.470,9.1,.748,.470,.174,.061,.052,.252,.535,.593,.400,.571,.333,.276,.630,1.000,.157,15,.483,.286,0,0,,sampsja02
