"PLAYER_NAME","Defender_Cluster"
"Courtney Lee","2"
"Ryan Kelly","1"
"Brandon Rush","4"
"Thabo Sefolosha","1"
"Kent Bazemore","1"
"Dwyane Wade","1"
"Terrence Ross","1"
"Shaun Livingston","4"
"Isaiah Thomas","2"
"Maurice Harkless","1"
"Ben McLemore","2"
"Avery Bradley","2"
"Zach LaVine","2"
"Nick Collison","1"
"Corey Brewer","2"
"Luc Mbah a Moute","1"
"Shelvin Mack","2"
"Solomon Hill","1"
"Montrezl Harrell","1"
"Monta Ellis","2"
"Isaiah Canaan","4"
"Alonzo Gee","2"
"Mario Hezonja","4"
"JaKarr Sampson","1"
"Archie Goodwin","4"
"Norris Cole","4"
"Marco Belinelli","4"
"Johnny O'Bryant III","1"
"T.J. Warren","4"
"Arron Afflalo","2"
"Gerald Green","1"
"O.J. Mayo","1"
"Mike Scott","1"
"Lance Thomas","1"
"T.J. McConnell","4"
"Iman Shumpert","2"
"Drew Gooden","5"
"Jameer Nelson","2"
"Markel Brown","4"
"Ty Lawson","4"
"Charlie Villanueva","1"
"JR Smith","2"
"Stanley Johnson","1"
"Kobe Bryant","2"
"Nick Young","4"
"Jerian Grant","4"
"DeJuan Blair","5"
"Darren Collison","2"
"Raul Neto","4"
"Tony Parker","2"
"Austin Rivers","1"
"Tayshaun Prince","1"
"Adreian Payne","4"
"Randy Foye","1"
"Metta World Peace","1"
"Sasha Vujacic","4"
"Allen Crabbe","1"
"Wayne Ellington","4"
"James Anderson","1"
"Jeremy Evans","1"
"Marcus Smart","2"
"James Johnson","1"
"Mario Chalmers","1"
"Greivis Vasquez","4"
"Gary Neal","4"
"Jeff Teague","2"
"Dennis Schröder","1"
"Matt Bonner","1"
"Kostas Papanikolaou","5"
"Shabazz Muhammad","4"
"PJ Hairston","5"
"C.J. Watson","4"
"Brandon Jennings","1"
"Tony Allen","2"
"Ray McCallum","5"
"Trey Burke","4"
"Patty Mills","4"
"Axel Toupane","4"
"Kelly Oubre Jr.","4"
"Marcus Thornton","1"
"Toney Douglas","4"
"Norman Powell","1"
"Jeremy Lamb","1"
"Cameron Payne","4"
"Tyler Hansbrough","5"
"Rashad Vaughn","4"
"Kirk Hinrich","4"
"Derrick Williams","1"
"Devin Harris","4"
"Sean Kilpatrick","4"
"Chris Johnson","1"
"D.J. Augustin","4"
"Seth Curry","4"
