"PLAYER_NAME","FGM_LT_10_10FT","FGA_LT_10_10FT","LT_10_PCT_10FT","NS_LT_10_PCT_10FT","PLUSMINUS_10FT","FGM_GT_15_15FT","FGA_GT_15_15FT","NS_GT_15_PCT_15FT","PLUSMINUS_15FT","FG2M_2P","FG2A_2P","FG2_PCT_2P","NS_FG2_PCT_2P","PLUSMINUS_2P","FGM_LT_06_6FT","FGA_LT_06_6FT","LT_06_PCT_6FT","NS_LT_06_PCT_6FT","PLUSMINUS_6FT","FG3M_3P","FG3A_3P","FG3_PCT_3P","NS_FG3_PCT_3P","PLUSMINUS_3P","D_FGM_OVERALL","D_FGA_OVERALL","D_FG_PCT_OVERALL","NORMAL_FG_PCT_OVERALL","PCT_PLUSMINUS_OVERALL"
"Jameer Nelson",1.38,2.23,0.621,0.541,0.079,1.92,5.03,0.367,0.016,2.38,4.67,0.511,0.477,0.034,1.05,1.38,0.759,0.597,0.162,1.28,3.36,0.382,0.357,0.025,3.67,8.03,0.457,0.437,0.02
"Markel Brown",1.4,2.22,0.631,0.545,0.086,1.24,2.89,0.367,0.061,2,3.51,0.57,0.478,0.092,1.18,1.85,0.637,0.601,0.036,0.84,2.02,0.414,0.358,0.056,2.84,5.53,0.513,0.436,0.077
"Ty Lawson",1.44,2.19,0.659,0.547,0.112,1.1,3.59,0.363,-0.058,2.16,4.05,0.533,0.481,0.053,1.32,1.76,0.748,0.598,0.15,0.62,2.32,0.267,0.347,-0.08,2.78,6.37,0.436,0.437,-0.001
"Charlie Villanueva",1.31,2.19,0.596,0.55,0.046,0.75,2.31,0.367,-0.042,1.69,3.37,0.503,0.502,0,1.08,1.67,0.644,0.594,0.05,0.5,1.52,0.329,0.344,-0.015,2.19,4.88,0.449,0.46,-0.011
"JR Smith",1.25,2.18,0.571,0.544,0.027,1.78,4.73,0.371,0.005,2.16,4.39,0.491,0.482,0.009,0.96,1.52,0.632,0.599,0.034,1.12,3.08,0.363,0.354,0.009,3.27,7.47,0.438,0.441,-0.003
"Stanley Johnson",1.18,2.18,0.541,0.543,-0.001,1.36,3.69,0.362,0.006,2.13,4.53,0.469,0.482,-0.013,0.89,1.54,0.577,0.599,-0.023,0.76,2.1,0.364,0.348,0.016,2.89,6.63,0.436,0.44,-0.004
"Kobe Bryant",1.33,2.15,0.62,0.557,0.063,1.8,4.71,0.369,0.013,2.32,4.35,0.533,0.497,0.036,1.17,1.64,0.713,0.609,0.104,1.11,3.18,0.348,0.352,-0.004,3.42,7.53,0.455,0.446,0.008
"Nick Young",1.37,2.15,0.638,0.545,0.093,1.19,2.74,0.363,0.07,1.94,3.44,0.565,0.49,0.075,1.17,1.67,0.7,0.599,0.101,0.8,1.91,0.417,0.353,0.065,2.74,5.35,0.512,0.443,0.069
"Jerian Grant",1.32,2.15,0.613,0.541,0.072,1.17,3.29,0.364,-0.009,1.89,3.82,0.495,0.48,0.015,1.08,1.57,0.69,0.593,0.097,0.76,2.07,0.369,0.351,0.019,2.65,5.89,0.45,0.436,0.014
"DeJuan Blair",0.96,2.13,0.449,0.535,-0.086,0.52,1.04,0.364,0.136,1.39,3.17,0.438,0.493,-0.054,0.87,1.43,0.606,0.583,0.023,0.26,0.35,0.75,0.365,0.385,1.65,3.52,0.469,0.468,0.001
"Darren Collison",1.33,2.11,0.63,0.536,0.094,2.27,5.64,0.371,0.032,2.58,4.89,0.527,0.478,0.048,0.96,1.27,0.753,0.602,0.151,1.47,3.64,0.402,0.356,0.046,4.04,8.53,0.474,0.435,0.038
"Raul Neto",1.15,2.11,0.544,0.526,0.018,1.6,3.93,0.374,0.035,2.35,4.62,0.508,0.473,0.035,0.8,1.38,0.58,0.585,-0.005,0.84,2.2,0.382,0.361,0.021,3.19,6.81,0.467,0.436,0.032
"Tony Parker",1.22,2.1,0.583,0.532,0.051,1.93,4.86,0.379,0.018,2.68,5.44,0.492,0.477,0.015,0.92,1.4,0.653,0.589,0.064,0.9,2.54,0.355,0.364,-0.009,3.58,7.99,0.449,0.439,0.009
"Austin Rivers",1,2.08,0.482,0.537,-0.055,1.36,3.85,0.373,-0.018,1.86,4.39,0.424,0.483,-0.059,0.7,1.36,0.511,0.589,-0.078,0.76,2.32,0.327,0.358,-0.031,2.62,6.71,0.391,0.441,-0.051
"Tayshaun Prince",1.14,2.08,0.545,0.544,0.002,1.16,3.08,0.379,-0.002,1.76,3.68,0.478,0.487,-0.009,0.92,1.62,0.567,0.596,-0.029,0.66,1.85,0.358,0.361,-0.003,2.42,5.53,0.438,0.446,-0.009
"Adreian Payne",1.33,2.07,0.642,0.558,0.084,0.5,1.52,0.381,-0.052,1.63,2.91,0.56,0.504,0.056,1.13,1.65,0.684,0.606,0.079,0.28,0.93,0.302,0.366,-0.064,1.91,3.85,0.497,0.467,0.03
