"PLAYER_NAME","FGM_LT_10_10FT","FGA_LT_10_10FT","LT_10_PCT_10FT","NS_LT_10_PCT_10FT","PLUSMINUS_10FT","FGM_GT_15_15FT","FGA_GT_15_15FT","NS_GT_15_PCT_15FT","PLUSMINUS_15FT","FG2M_2P","FG2A_2P","FG2_PCT_2P","NS_FG2_PCT_2P","PLUSMINUS_2P","FGM_LT_06_6FT","FGA_LT_06_6FT","LT_06_PCT_6FT","NS_LT_06_PCT_6FT","PLUSMINUS_6FT","FG3M_3P","FG3A_3P","FG3_PCT_3P","NS_FG3_PCT_3P","PLUSMINUS_3P","D_FGM_OVERALL","D_FGA_OVERALL","D_FG_PCT_OVERALL","NORMAL_FG_PCT_OVERALL","PCT_PLUSMINUS_OVERALL"
"Gerald Henderson",0.76,1.7,0.445,0.547,-0.102,1.64,3.5,0.367,0.103,1.53,3.49,0.439,0.48,-0.042,0.57,1.19,0.482,0.594,-0.112,1.01,2.17,0.467,0.356,0.111,2.54,5.66,0.449,0.433,0.017
"Ramon Sessions",1.1,1.7,0.647,0.529,0.119,1.17,3.29,0.363,-0.007,1.85,3.3,0.561,0.468,0.093,0.8,1.17,0.688,0.586,0.101,0.7,2.18,0.318,0.356,-0.038,2.55,5.49,0.464,0.429,0.036
"Tyler Ennis",1.03,1.69,0.606,0.524,0.082,1.1,3.33,0.363,-0.033,1.54,3,0.513,0.463,0.049,0.77,1.13,0.682,0.572,0.11,0.74,2.36,0.315,0.354,-0.039,2.28,5.36,0.426,0.426,0
"Lou Amundson",0.86,1.68,0.511,0.54,-0.029,0.36,1.14,0.386,-0.073,0.96,2.46,0.391,0.487,-0.096,0.68,1.39,0.487,0.592,-0.105,0.29,0.64,0.444,0.35,0.095,1.25,3.11,0.402,0.452,-0.05
"Aaron Brooks",0.93,1.67,0.557,0.526,0.03,1.01,3.2,0.368,-0.051,1.51,3.49,0.432,0.47,-0.039,0.68,1.04,0.653,0.577,0.076,0.62,1.99,0.314,0.356,-0.042,2.13,5.48,0.389,0.432,-0.043
"Mo Williams",0.92,1.67,0.55,0.526,0.024,1.39,3.58,0.365,0.023,1.75,3.81,0.46,0.472,-0.012,0.69,1.08,0.641,0.573,0.068,0.78,2.08,0.373,0.34,0.033,2.53,5.89,0.429,0.436,-0.007
"Sergey Karasev",0.97,1.66,0.586,0.553,0.033,0.86,2.34,0.378,-0.012,1.54,2.89,0.535,0.479,0.055,0.8,1.2,0.667,0.626,0.04,0.43,1.37,0.313,0.369,-0.056,1.97,4.26,0.463,0.442,0.021
"Vince Carter",1.07,1.66,0.643,0.539,0.104,1.47,3.75,0.359,0.035,1.53,2.92,0.523,0.482,0.041,0.92,1.29,0.711,0.596,0.115,1.05,2.78,0.378,0.344,0.035,2.58,5.69,0.452,0.432,0.021
"Richard Jefferson",1,1.66,0.603,0.54,0.063,1.3,3.66,0.365,-0.009,1.53,3.29,0.467,0.477,-0.01,0.75,1.14,0.663,0.591,0.072,0.89,2.4,0.371,0.354,0.017,2.42,5.68,0.427,0.434,-0.007
"Beno Udrih",0.86,1.66,0.521,0.517,0.004,1.32,3.64,0.368,-0.005,1.7,3.5,0.487,0.467,0.02,0.66,1.16,0.569,0.57,-0.001,0.86,2.36,0.365,0.355,0.01,2.57,5.86,0.438,0.428,0.01
"James Michael McAdoo",1.03,1.65,0.625,0.538,0.087,0.5,1.35,0.37,0,1.26,2.24,0.566,0.48,0.086,1,1.35,0.739,0.599,0.14,0.29,0.91,0.323,0.361,-0.038,1.56,3.15,0.495,0.44,0.055
"Mike Miller",0.83,1.64,0.508,0.527,-0.019,0.75,2.06,0.359,0.006,1.17,2.58,0.452,0.479,-0.028,0.81,1.22,0.659,0.58,0.08,0.58,1.39,0.42,0.345,0.075,1.75,3.97,0.441,0.433,0.007
"Rodney Stuckey",0.86,1.63,0.527,0.537,-0.01,1.37,3.42,0.366,0.034,1.61,3.53,0.458,0.473,-0.015,0.74,1.21,0.609,0.596,0.013,0.84,2.05,0.41,0.353,0.058,2.46,5.58,0.44,0.43,0.01
"Rasual Butler",0.72,1.61,0.448,0.532,-0.083,0.64,2.11,0.35,-0.047,1,2.28,0.439,0.475,-0.036,0.56,1.28,0.435,0.597,-0.163,0.47,1.58,0.298,0.343,-0.044,1.47,3.86,0.381,0.422,-0.04
"Chase Budinger",0.82,1.59,0.515,0.538,-0.023,0.89,2.44,0.362,0,1.38,3,0.459,0.483,-0.024,0.64,1.02,0.629,0.598,0.031,0.51,1.59,0.32,0.35,-0.031,1.89,4.59,0.411,0.435,-0.024
"J.J. Barea",1.03,1.58,0.65,0.529,0.12,1.64,4.28,0.37,0.012,1.91,3.69,0.516,0.474,0.043,0.68,0.93,0.725,0.586,0.139,1.05,2.91,0.363,0.355,0.008,2.96,6.59,0.449,0.433,0.016
"Anthony Morrow",0.95,1.58,0.6,0.528,0.072,0.98,2.6,0.352,0.026,1.35,2.42,0.559,0.483,0.076,0.78,1.15,0.681,0.574,0.107,0.67,1.98,0.336,0.338,-0.001,2.02,4.4,0.458,0.432,0.027
"Kevin Martin",1.09,1.57,0.694,0.542,0.152,1.35,3.3,0.377,0.033,1.91,3.26,0.585,0.482,0.103,0.89,1.06,0.842,0.602,0.24,0.76,2.02,0.376,0.359,0.017,2.67,5.28,0.505,0.433,0.072
"Tim Frazier",0.97,1.56,0.623,0.536,0.087,1.28,3.62,0.358,-0.003,1.87,3.62,0.518,0.47,0.048,0.64,1,0.641,0.599,0.042,0.72,2.38,0.301,0.343,-0.042,2.59,6,0.432,0.429,0.003
"Jonathon Simmons",1.06,1.52,0.697,0.545,0.153,0.9,2.3,0.353,0.038,1.5,2.8,0.536,0.482,0.053,0.74,1,0.74,0.603,0.137,0.54,1.38,0.391,0.334,0.057,2.04,4.18,0.488,0.433,0.055
"Joe Young",0.88,1.52,0.58,0.522,0.058,0.58,1.79,0.359,-0.036,1.36,2.67,0.511,0.473,0.039,0.76,1.12,0.676,0.562,0.113,0.21,0.88,0.241,0.346,-0.105,1.58,3.55,0.444,0.427,0.017
"Marcelo Huertas",0.98,1.51,0.649,0.516,0.133,1.25,3.51,0.37,-0.013,1.94,3.59,0.541,0.47,0.071,0.82,1.1,0.75,0.573,0.177,0.67,2.18,0.306,0.358,-0.052,2.61,5.76,0.452,0.431,0.022
"Glenn Robinson III",0.87,1.51,0.576,0.546,0.03,0.77,2.31,0.362,-0.029,1.21,2.56,0.47,0.483,-0.013,0.79,1.26,0.633,0.596,0.036,0.46,1.38,0.333,0.349,-0.016,1.67,3.95,0.422,0.434,-0.012
"Jared Cunningham",0.87,1.5,0.578,0.519,0.059,0.83,2.2,0.368,0.011,1.2,2.4,0.5,0.478,0.022,0.7,1.03,0.677,0.58,0.098,0.53,1.53,0.348,0.342,0.006,1.73,3.93,0.441,0.433,0.007
"Reggie Bullock Jr.",0.96,1.5,0.643,0.549,0.094,0.82,2.93,0.364,-0.083,1.43,2.96,0.482,0.475,0.007,0.71,1.07,0.667,0.593,0.073,0.57,1.75,0.327,0.353,-0.027,2,4.71,0.424,0.434,-0.01
"Ronnie Price",0.79,1.48,0.533,0.522,0.011,1.41,3.54,0.37,0.028,1.48,3.21,0.459,0.466,-0.006,0.61,0.9,0.673,0.587,0.086,0.92,2.31,0.397,0.363,0.034,2.39,5.52,0.433,0.43,0.003
"Justin Anderson",0.72,1.48,0.485,0.541,-0.055,1.07,2.28,0.375,0.092,1.17,2.37,0.495,0.485,0.01,0.63,1.2,0.527,0.588,-0.061,0.74,1.8,0.41,0.36,0.05,1.91,4.17,0.458,0.44,0.019
"Pablo Prigioni",1.04,1.47,0.702,0.536,0.166,0.98,2.56,0.356,0.028,1.67,3.05,0.546,0.47,0.076,0.88,1.11,0.794,0.59,0.204,0.6,1.53,0.391,0.341,0.05,2.26,4.58,0.494,0.427,0.067
"Joe Ingles",0.87,1.47,0.589,0.547,0.042,0.8,2.3,0.364,-0.015,1.26,2.55,0.495,0.493,0.002,0.75,1.07,0.704,0.601,0.102,0.58,1.67,0.346,0.342,0.005,1.84,4.22,0.436,0.442,-0.006
"John Jenkins",0.86,1.42,0.608,0.535,0.073,0.61,2.06,0.371,-0.074,1.36,2.75,0.495,0.48,0.015,0.78,1.06,0.737,0.606,0.131,0.33,1.17,0.286,0.344,-0.059,1.69,3.92,0.433,0.435,-0.002
"Damjan Rudez",0.89,1.41,0.632,0.534,0.098,0.63,2.15,0.359,-0.066,1.3,2.44,0.53,0.481,0.049,0.59,0.96,0.615,0.586,0.029,0.3,1.22,0.242,0.339,-0.096,1.59,3.67,0.434,0.444,-0.009
"Devyn Marble",0.86,1.41,0.613,0.55,0.063,0.73,1.91,0.349,0.032,1.27,2.36,0.538,0.475,0.063,0.68,0.95,0.714,0.605,0.109,0.45,1.23,0.37,0.332,0.038,1.73,3.59,0.481,0.427,0.054
"Lance Stephenson",0.93,1.39,0.667,0.537,0.129,1.22,3.49,0.363,-0.013,1.52,2.75,0.554,0.474,0.08,0.69,0.93,0.742,0.592,0.15,0.81,2.49,0.323,0.353,-0.03,2.33,5.24,0.444,0.435,0.01
"James Jones",0.85,1.38,0.611,0.539,0.072,0.51,1.44,0.369,-0.012,1.23,2.08,0.593,0.49,0.103,0.74,1.1,0.674,0.593,0.081,0.26,1,0.256,0.352,-0.095,1.49,3.08,0.483,0.451,0.033
"Kendall Marshall",0.88,1.33,0.656,0.527,0.13,1.08,2.46,0.368,0.072,1.79,2.88,0.623,0.471,0.152,0.67,0.96,0.696,0.584,0.111,0.5,1.46,0.343,0.355,-0.012,2.29,4.33,0.529,0.435,0.094
"Manu Ginobili",0.79,1.32,0.595,0.541,0.054,0.64,2.45,0.367,-0.104,1.32,2.84,0.465,0.485,-0.02,0.64,0.95,0.679,0.595,0.084,0.29,1.41,0.203,0.351,-0.148,1.61,4.25,0.378,0.438,-0.06
"Ian Clark",0.9,1.31,0.687,0.541,0.146,0.76,1.73,0.36,0.083,1.31,2.22,0.593,0.472,0.121,0.73,1.04,0.698,0.598,0.1,0.45,1.18,0.383,0.347,0.036,1.76,3.39,0.52,0.427,0.094
"Chris Copeland",0.65,1.3,0.5,0.544,-0.044,0.95,1.8,0.372,0.155,1.1,2.25,0.489,0.491,-0.003,0.6,1.2,0.5,0.594,-0.094,0.65,1.1,0.591,0.354,0.237,1.75,3.35,0.522,0.44,0.082
"Udonis Haslem",0.79,1.28,0.622,0.536,0.086,0.52,1.14,0.367,0.087,1.24,2.17,0.571,0.484,0.087,0.62,0.9,0.692,0.576,0.116,0.24,0.59,0.412,0.328,0.084,1.48,2.76,0.538,0.448,0.089
"Terry Rozier",0.69,1.24,0.556,0.533,0.022,0.62,1.21,0.366,0.148,1.07,2,0.534,0.474,0.06,0.52,0.79,0.652,0.582,0.07,0.38,0.79,0.478,0.343,0.135,1.45,2.79,0.519,0.431,0.088
"Brian Roberts",0.66,1.23,0.537,0.54,-0.003,0.82,2.18,0.373,0.002,1.25,2.61,0.478,0.472,0.006,0.41,0.64,0.643,0.607,0.036,0.41,1.3,0.316,0.36,-0.044,1.66,3.91,0.424,0.43,-0.006
"Tim Hardaway Jr.",0.75,1.22,0.613,0.546,0.067,1.2,3.78,0.371,-0.055,1.2,2.86,0.418,0.481,-0.063,0.57,0.84,0.674,0.601,0.073,0.8,2.53,0.318,0.361,-0.043,2,5.39,0.371,0.433,-0.062
"Lamar Patterson",0.84,1.22,0.692,0.557,0.136,1,2.47,0.353,0.052,1.22,2.28,0.534,0.489,0.045,0.72,0.94,0.767,0.607,0.16,0.72,1.75,0.411,0.331,0.079,1.94,4.03,0.481,0.44,0.04
"KJ McDaniels",0.68,1.16,0.586,0.539,0.047,0.68,1.72,0.358,0.037,0.92,2.04,0.451,0.478,-0.027,0.64,1.08,0.593,0.588,0.005,0.52,1.16,0.448,0.355,0.094,1.44,3.2,0.45,0.429,0.021
"James Young",0.71,1.14,0.625,0.542,0.083,1.05,2.19,0.359,0.119,1.19,2,0.595,0.482,0.114,0.52,0.86,0.611,0.61,0.001,0.67,1.52,0.438,0.346,0.091,1.86,3.52,0.527,0.433,0.094
"Leandro Barbosa",0.71,1.13,0.623,0.539,0.084,0.82,2.25,0.361,0.005,1.16,2.37,0.491,0.479,0.012,0.5,0.72,0.694,0.599,0.095,0.47,1.26,0.372,0.339,0.033,1.63,3.63,0.449,0.431,0.018
"Troy Daniels",0.69,1.11,0.625,0.526,0.099,0.58,2.22,0.363,-0.101,1.14,2.22,0.513,0.476,0.036,0.56,0.72,0.769,0.568,0.201,0.33,1.56,0.214,0.344,-0.129,1.47,3.78,0.39,0.431,-0.041
"Phil Pressey",0.7,1.1,0.636,0.541,0.095,0.8,2.35,0.362,-0.021,1.25,2.9,0.431,0.467,-0.036,0.65,0.75,0.867,0.594,0.273,0.5,1.2,0.417,0.352,0.065,1.75,4.1,0.427,0.43,-0.003
"RJ Hunter",0.65,1.04,0.63,0.535,0.095,0.58,1.5,0.356,0.028,1.04,2,0.519,0.463,0.056,0.54,0.77,0.7,0.607,0.093,0.31,0.88,0.348,0.349,-0.001,1.35,2.88,0.467,0.419,0.048
"Shabazz Napier",0.65,0.96,0.682,0.524,0.158,0.96,2.72,0.367,-0.015,1.2,2.39,0.5,0.466,0.034,0.52,0.63,0.828,0.601,0.227,0.61,1.67,0.364,0.355,0.008,1.8,4.07,0.444,0.425,0.019
"Darrun Hilliard",0.52,0.93,0.56,0.518,0.042,0.74,1.93,0.367,0.018,0.93,2.11,0.439,0.467,-0.029,0.3,0.56,0.533,0.593,-0.06,0.48,1.07,0.448,0.361,0.087,1.41,3.19,0.442,0.426,0.016
"Andre Miller",0.66,0.91,0.719,0.543,0.176,1.2,3.43,0.364,-0.014,1.11,1.97,0.565,0.469,0.096,0.57,0.71,0.8,0.599,0.201,0.89,2.71,0.326,0.355,-0.028,2,4.69,0.427,0.43,-0.003
"Sonny Weems",0.8,0.89,0.903,0.554,0.35,0.69,1.89,0.363,0.001,1.11,1.83,0.609,0.487,0.123,0.66,0.69,0.958,0.6,0.359,0.51,1.31,0.391,0.347,0.045,1.63,3.14,0.518,0.438,0.08
